"排序","分组","领域","评估项目","操作描述","所需材料","适用年龄","是否必答","评分分值_高_标签","评分分值_高_说明","评分分值_中_标签","评分分值_中_说明","评分分值_低_标签","评分分值_低_说明"
"1","感知觉","视觉 视觉 注视","注视光线刺激","在距离儿童眼睛约25厘米处出示光亮以吸引儿童注意，观察其反应。","光线可调节的小手电筒1支","0-6月","是","通过","注视球3秒或以上","中间反应","注视3秒以下","不通过","目光不能或没有注视"
"2","感知觉","视觉 视觉 注视","注视颜色刺激","在距离儿童眼睛约25厘米处摇晃气球以吸引儿童注意，观察其反应。","红色气球1只","0-6月","是","通过","注视球3秒或以上","中间反应","注视3秒以下","不通过","目光不能或没有注视"
"3","感知觉","视觉追视","灵活追视","在儿童面前出示气球等，摇晃气球或其他物品以吸引儿童注意，左右上下慢慢移动。","红色气球1只或儿童感兴趣的物品","4-6月","是","通过","目光追随气球，上下左右移动，均可追视","中间反应","目光偶有追随气球移动但不连续","不通过","不能或没有任何追视"
"4","感知觉","追视飘动物体","肥皂泡液","在儿童面前吹肥皂泡，观察儿童有没有追视肥皂泡飘动。","","6-12月","是","通过","明显可见儿童追视肥皂泡移动","中间反应","偶尔追视，时间很短","不通过","没有追视肥皂泡"
"5","感知觉","追视飘动物体","追视快速运动物体","测试员先在儿童面前3米远处由慢而快地来回移动气球；然后再将手电的光点在房间的墙上来回移动，引起儿童追视。","红外线小手电筒1支及红色气球1只","12-18月","是","通过","对移动的气球和光点，儿童能明确作出反应","中间反应","目光追视间断、不连续","不通过","没有任何追视反应"
"6","感知觉","视觉辨认","辨认熟悉人物的面孔（如：爸爸、妈妈）","在日常或评估期间观察；或向家长询问：孩子能辨认熟悉的人物吗？","观察项目","5-6月","是","通过","见到熟悉人物面孔时有2次或以上的反应或笑；对陌生人则不会","中间反应","有1次反应","不通过","见到熟悉人物面孔时没有任何反应"
"7","感知觉","视觉辨认","辨认自己的影像","测试员在儿童面前出示小镜子，让儿童照着镜子，问他：“这是谁呀？”","小镜子1只","12-15月","是","通过","开心地笑、拍手，或用手触摸镜子，或说自己的名字等","中间反应","目光反应迟钝，或盯着看","不通过","没有任何反应"
"8","感知觉","视觉辨认","辨认常见物品","在日常生活或评估期间观察；或询问家长：儿童能够辨认一些常见物品吗？","观察项目","12-24月","是","通过","能按指示/需要去挑选2种或以上的常见物品（如：汤匙、杯子、奶瓶、鞋、玩具等）","中间反应","偶尔或提示下能按指示/需要去挑选一种常见的物品","不通过","不能作出正确反应"
"9","感知觉","视觉辨认","辨认1种颜色","测试员在儿童面前逐一出示4种颜色，并问是什么颜色。","红、黄、蓝、绿积木各1块","16-20月","是","通过","能正确说出其中1种颜色","中间反应","提示下说出其中1种颜色","不通过","不能或没有说出其中任何1种颜色"
"10","感知觉","视觉辨认","辨认2种颜色","测试员在儿童面前逐一出示4种颜色，并问是什么颜色。","红、黄、蓝、绿积木各1块","22-26月","是","通过","能正确说出其中2种颜色","中间反应","能说出其中1种或提示下能说出其中2种颜色","不通过","不能或没有说出其中任何1种颜色"
"11","感知觉","视觉辨认","找出两种不同的颜色","测试员在儿童面前出示4种颜色的积木块，要求儿童找出红色和蓝色的积木块。","红、黄、蓝、绿积木各1块","35-38月","是","通过","能正确找出2种颜色积木块","中间反应","能找出其中1种或提示下能找出2种颜色积木块","不通过","不能找出其中任何1种颜色积木块"
"12","感知觉","视觉记忆及重整","指出图形拼块的正确位置","测试人员将模板放在儿童面前（三角形的底边靠近儿童），将各种形状的拼块正面向上放在模板与儿童之间，避免将各拼块放在与其形状相同的洞下面。 指向拼板并示意儿童将各拼块放进模板。 一段时间后，若儿童表现出不明白或有困难，测试员可用圆形拼块示范，然后将该拼块放回桌子上，并指示儿童将所有形状的拼块放进模板。 指示步骤： 1、用圆形拼块示范 2、用全部拼块示范 3、用动作协助儿童尝试拼放全部拼块","形状拼板（圆形、正方形、三角形和模板）","34-39月","是","通过","无需示范，能将3个形状拼块放在模板的正确位置或其附近","中间反应","最少将1个形状拼块准确放在正确位置或其附近；或需示范才尝试或完成此项目；或需将拼块逐块交给儿童才尝试或完成此项目","不通过","示范后仍不能、或没有尝试指示出不同形状拼块的正确位置"
"13","感知觉","视觉记忆及重整","指出动物拼块的正确位置","测试员将动物模板放在儿童面前，动物拼块则放在模板与儿童之间，避免将拼块放在拼块大小对应的位置下。指向模板并指示儿童将各拼块放进去，但不要直接指向任何一个模板洞。","动物拼块及模板","34-39月","是","通过","无需示范便能指出3块拼块的正确位置。即使未能准确放入，但能将拼块放在正确位置附近（上或下）","中间反应","虽未能完全准确放入，但能正确指示出最少1块拼块的正确位置","不通过","示范后仍未能或没有尝试将拼块放在模板上"
"14","感知觉","视觉记忆及重整","完成物品拼板","测试员将已完成的拼板放在儿童面前，取出所有拼块并将其中1块拼块交给儿童，指着模板指示儿童将拼块放进模板。完成后，再把另一块交给儿童，用同样的程序测试剩下的拼块。注意将各拼块以正面向上的方式交给儿童。","物品拼块和模板（雨伞、小鸡、蝴蝶、梨子及模板）","45-49月","是","通过","无需示范便能完成4块拼块的拼板","中间反应","最少能放入1块拼块，或需示范后才尝试或完成","不通过","示范后仍未能或没有放进任何拼块"
"15","感知觉","视觉记忆及重整","完成动物拼图","测试员将已完成的小狗拼图放在儿童面前，让儿童看3秒钟后拆开，要求儿童拼成小狗。","剪成三块的狗的拼图","45-49月","是","通过","无需示范便能完成3块的小狗拼图","中间反应","需示范后才尝试或完成","不通过","示范后仍未能完成"
"16","感知觉","颜色积木配对","颜色积木5块（黄、红、蓝、绿、白）","测试员随意选出3块积木以及颜色相配的纸板，将纸板放在儿童面前，给儿童任何1块积木，并指向各纸板，利用语言指令和手势示意儿童将积木放在颜色相同的纸板上。必须避免说出颜色名称。","颜色相同的纸板5个","45-49月","是","通过","无需示范，能把5种颜色正确配对","中间反应","至少完成1种颜色配对；或需示范才能去尝试或完成此项目","不通过","未能或没有配对任何颜色"
"17","感知觉","颜色积木配对","杯下寻物","测试员将3只杯子倒扣在桌上，排成一排，吸引儿童的注意。并开始第一次测试：将1颗糖果藏在中间的杯子里，慢慢将它与右边的杯子交换位置，然后指示儿童寻找糖果。 若儿童没有明白测试员的动作，就拿起右边的杯子，出示糖果，然后将糖果重新放在中间的杯子里，重复以上程序1次，再指示儿童寻找糖果。 接着开始第2次测试。将糖果藏在测试员左边的杯子里，慢慢与中间的杯子交换位置，指示儿童寻找糖果。 然后进行第3次测试，将糖果放在右边的杯子里，然后和左边的杯子交换位置，指示儿童去寻找糖果。","小糖果、不透明杯子3只","58-62月","是","通过","3次测试中有2次能找出糖果","中间反应","3次测试中有1次能找出糖果","不通过","未能或没有尝试去寻找糖果"
"18","感知觉","视觉偏好","对图画感兴趣","测试员将图画书放在儿童面前的桌子上，并观察儿童的反应。一段时间后，若儿童没有翻看书本，便鼓励儿童去做，说：“看看图画书吧”。观察儿童如何翻看书本。","测试用书（有图画的部分）或其他彩色儿童图画","20-25月","是","通过","观看图书，对图书内的图画感兴趣（翻开书本，逐页翻看，专心注视着图画）","中间反应","观看图书，但对图书内的图画没有很大兴趣（翻开书本粗略地看画页而非专心注视图画；或每次翻动数页）","不通过","虽经多次鼓励，但仍没有翻开画册"
"19","感知觉","表现出使用惯用眼","万花筒","测试人员示范如何观察万花筒，让儿童模仿时注意观察儿童是否表现出使用惯用眼（即儿童持续地使用同一眼睛观看万花筒）。","观察项目","30-36月","是","通过","表现出使用惯用眼（持续地使用同一眼睛观看2秒以上，而且2次也使用同一眼睛）","中间反应","开始表现出使用惯用眼（第一次用左/右眼，都是持续观看2秒以上，或以同一眼观看少于2秒）","不通过","没有惯用眼 （2次尝试分别以不同眼睛观看，也未能持续2秒以上）"
"20","感知觉","听觉听觉反应","母亲叫名有反应","在日常观察或询问家长：母亲叫儿童名字能否引起儿童注意。","观察项目","0-6月","是","通过","能引起反应，如停止动作、注视、头部转动、仰头、笑等","中间反应","偶尔有反应","不通过","无任何反应"
"21","感知觉","对突发声作出反应","摇铃1个","","在儿童不注意时，快速摇铃5下（响声不要太大，若太大，用手进行控制）。","0-6月","是","通过","对声音作出反应，如：静下来、突然受惊、睁大眼睛、眨眼、眼珠转动、身体抽动一下、嘴动、头扭动、有哭相、哭闹等","中间反应","对声音作出轻微反应","不通过","无任何反应"
"22","感知觉","听到两侧或身后响声，头会转向声源","摇铃1个","","在儿童不注意时，在儿童头的两侧摇铃或发出响声，或走到他背后摇铃5下。","","是","通过","听到声音后，头向后转，并且可用头和眼睛的转动来寻找声音的方向。","中间反应","对声音的反应迟缓轻微","不通过","对声音无反应 3-6个月"
"23","感知觉","听觉注意","注意声音","在日常观察或询问家长：母亲的声音能否引起儿童注意。","观察项目","0-6月","是","通过","哺乳停止或动作减少","中间反应","偶尔有反应","不通过","无任何反应"
"24","感知觉","听觉注意","专心聆听音叉响声","在儿童背后，慢慢接近他，尽量把音叉保持在儿童视野范围以外，大约距离儿童耳朵10cm左右，两边都要测试。用有颜色的盒子来吸引儿童的注意力，以防他的目光跟随着那些移动的人。","音叉1支","5-6月","是","通过","表现出有聆听的征象，有些儿童马上听到，并且将头转向有声音的一面","中间反应","对声音的反应迟缓轻微","不通过","对声音无反应"
"25","感知觉","听觉注意","专心聆听秒表","测试员将秒表放在儿童视野以外，距离儿童大约5-10cm处，开始测试，两边都要检查。检查者或母亲可用耳语来诱导儿童达到一个聆听的情绪。","观察项目","8-9月","是","通过","表现出有聆听的证据，并且至少将头转向声音来源的其中的一边","中间反应","对声音有轻微反应","不通过","对声音无反应"
"26","感知觉","听觉辨别","别人叫自己名字时会作出反应，而对其它名字则没有反应。","在评估期间，当儿童正进行活动时（如游戏、进食），在较远处用他的名字叫他，并观察他的反应。过一会儿，再叫另外一个名字，观察儿童反应。","","6-12月","是","通过","2次或以上只对自己名字有反应（如：转头望、停止活动）；对其他名字则没有反应","中间反应","偶尔对自己名字有轻微反应","不通过","对名字无反应 6-12月 或观察项目 在日常观察或询问家长：别人叫儿童名字时他有什么反应？叫其它名字时，他又有什么反应？"
"27","感知觉","听觉辨别","聆听响板声及转向声源","在儿童注意测试员时，或在两个测试项目之间的间隙，将响板放在儿童看不见的地方（测试员背后或桌子下），抖动响板一次（维持数秒），观察儿童反应。 若儿童对声音有反应，但没有转向声源，测试员可以问他为什么有那样的反应，看他会不会指出声音的来源。","响板","7-15月","是","通过","能聆听和转向声源；或指出声源","中间反应","对声音有轻微反应（可能会抬起头，但未能转向声源）","不通过","对声音没有反应"
"28","感知觉","听觉辨别","聆听哨子声及转向声源","在儿童没有注意测试员时，或在两个测试项目的间隙，将哨子藏于掌中，然后用力吹响，观察儿童反应。 注意：收放哨子的动作不要过大，以免儿童看见，阻碍检查听觉反应。","哨子","7-15月","是","通过","对声音有明显的正确反应，能正确地转向声源，儿童的反应包括语言反应，（如问：是什么声音？）或非言语反应（如眨眼、面部表情改变或将头转向声源）","中间反应","表现出听到声音，但没有转向声源或转向方向不正确","不通过","无语言或非语言的反应来表现未听到声音"
"29","感知觉","听觉辨别","聆听摇铃声及转向声源","在儿童注意测试员时，或在两个测试项目之间，将摇铃放在儿童看不见的地方（测试员背后或桌子下），弄响摇铃，观察儿童反应。 若儿童对声音有反应，但没有转向声源，测试员可以问他为什么有那样的反应，看他会不会指出声音的来源。","摇铃","7-15月","是","通过","清楚显示对声音的反应及正确地转向声源，儿童的反应包括语言反应，（如问：是什么声音？）或非言语反应（如眨眼、面部表情改变、跳起、哭或将头转向声源）","中间反应","有听到声音的表现，但没有转向声源或转向方向不正确","不通过","没有显示出是否听到声音（语言或非语言的显示）"
"30","感知觉","听觉辨别","分辨声音的长、短、强、弱、快、慢","在儿童面前用小喇叭吹出长、短音，让儿童进行辨别说出（或指出），或用力击、轻轻击、快击、慢击鼓，让儿童辨别鼓音的强弱与快慢。","小喇叭和小鼓各一只","24-36月","是","通过","从声响中可以正确分辨出2种的喇叭声或鼓声","中间反应","提示下正确区分出2种喇叭声或鼓声","不通过","不能分辨出喇叭声或鼓声的不同"
"31","感知觉","听觉辨别","分辨生活中和自然界的各种声音","用收录机播放门铃声、冲水声、下雨声、雷声等其中2种声音，逐一对儿童说“这是什么发出的声音？”让儿童找出对应的图片。","门铃声、冲水声、下雨声、雷声、狗叫声、猫叫声等声音的录音带及对应声音的图片","24-36月","是","通过","正确找出2种与声音对应的图片","中间反应","能找出1种与声音对应的图片或提示下找出2种正确的图片","不通过","不能正确找出对应图片"
"32","感知觉","听觉辨别","辨听常见的乐器声","用收录机播放钢琴声、鼓声等两种声音的录音带，对儿童说“这是什么发出的声音？”让儿童找出对应的2种图片。","钢琴声、鼓声等声音的录音带","36-48月","是","通过","正确找出2种与声音对应的图片","中间反应","能找出1种与声音对应的图片或提示下找出2种正确的图片","不通过","不能正确找出对应图片"
"33","感知觉","听觉辨别","分辨2种以上的铃声或节奏音","测试者先在儿童面前摇摇铃，要求仔细听并记住摇铃的声音；接着再让他听音叉和沙锤的声音并记住。然后在儿童背后分别摇摇铃、音叉和沙锤，并让他说出哪个是摇铃发出的声音，哪个是音叉和沙锤发出的声音。也可以用其他声音代替。","摇铃、音叉和沙锤各1个或其他铃声的录音（如电话铃声，打字机声，自行车铃声，汽车喇叭声等）","48-60月","是","通过","从声响中可以正确分辨出两种以上的铃声","中间反应","只能正确区分出1-2种铃声","不通过","不能分辨出各种铃声"
"34","感知觉","听觉辨别","对东西碰撞身体时，做出适当的反应","测试员向儿童背部扔一个布娃娃，观察儿童是否有转头的反应。","布娃娃1个","3-6月","是","通过","身体被布娃娃碰撞后做出明显反应","中间反应","反应迟缓或轻微","不通过","没有反应 3-6月 或观察项目 在日常生活中或评估期间观察；或询问家长。 2次或以上作出反应除外"
"35","感知觉","听觉辨别","对3种不同触觉刺激作出反应","在日常生活中或评估期间观察；或询问家长：儿童对不同的触觉刺激有反应吗？是什么触觉刺激？有什么反应？ 注：如果家长不能举出儿童有反应的3种触觉刺激或不明白问题，就例举一些例子供其参考。","观察项目","0-12月","是","通过","对3种不同质地的材料（如：粗糙的刷子或梳子、柔软的毛巾或棉花、沙或水）作出反应（如：面部表情转变、手脚较为紧张、手脚慢慢退缩以避开物品、手脚伸向物品等）","中间反应","对其中的1-2种材料反应正常","不通过","对3种材料反应过敏或过于迟钝。如：手脚猛然退缩、身体过分抽紧或对上述任何材料或其他材料表现过分抗拒"
"36","感知觉","对自己的衣物湿了有反应","小半杯水","测试员将儿童的衣袖打湿一小片，观察儿童是否有抓拿衣袖或哭喊的反应。","","12-24月","是","通过","反应正常，如抓拿衣袖","中间反应","反应轻微，如看一眼","不通过","反应过敏或过于迟钝"
"37","感知觉","触觉辨别","凭触觉配对物品","把儿童的眼睛蒙起来，先让儿童触摸海绵球，告诉他：这个球是软的。 把海绵球放入已装着硬塑胶球的小布袋，说：“这里有两个球，有一个是软的，你把它拿出来。”","一样大小的海绵球及硬塑胶球1个，小布袋1个，以便装球","","是","通过","正确取出海绵球","中间反应","提示或示范后取出海绵球","不通过","不能取出海绵球或没有反应 2-3岁"
"38","感知觉","触觉辨别","凭触觉挑选常见物品","把儿童的眼睛蒙起来，将所有物品放入小布袋里，然后让儿童把手伸入小布袋中摸索物品，说：“你用手摸一摸，把小车拿给我”。 把小车放回袋中，再测试其他两样物品，每次都将物品放回袋中。（顺序：车、牙刷、球）","布袋、小车、牙刷、玩具球各一个","24-36月","是","通过","按指示正确拿出物品","中间反应","示范或提示后正确拿出物品","不通过","不能正确拿出物品或无反应"
"39","感知觉","触觉辨别","凭触觉区分轻重","将相同体积的木块和铁块放在桌上，让儿童拿一拿木块、再拿一拿铁块，提问：“哪个轻，哪个重？”观察并记录儿童的回答。","小木块和小铁块各一个","36-48月","是","通过","能正确说出（或用手指示）木块轻、铁块重","中间反应","能说出一半正确答案，或提示下说出完整答案","不通过","不能正确区分"
"40","感知觉","触觉辨别","凭触觉区分干湿","让儿童摸一摸干毛巾、湿毛巾，提问：“哪条毛巾干，哪条毛巾湿？”观察儿童是否能说出（指出）。","干毛巾和湿毛巾各一条","36-48月","是","通过","能正确说出（或指出）对应答案","中间反应","能说出一半正确答案，或提示下说出完整答案","不通过","不能正确区分"
"41","感知觉","触觉辨别","触摸物体的形状","把儿童的眼睛蒙起来，先将圆形的杯子和长方形的盒子摆放在桌上，问：“杯子是什么形状？盒子是什么形状”；再拿出铅笔和细皮筋，问：“哪一个粗，哪一个细？”","圆形的杯子、长方形的盒子、细皮筋和铅笔等各一","48-60月","是","通过","能说出（或指出）4个正确答案","中间反应","能说出3个以下正确答案，或提示下说出全部答案","不通过","不能说（指）出1个正确答案"
"42","感知觉","触觉记忆","触摸物体按大、小排列","把儿童的眼睛蒙上，让儿童触摸不同大小的弹子球、乒乓球、小皮球，将它们按“从小到大（从大到小）的顺序排列”。","弹子球、乒乓球、小皮球各一只","60-72月","是","通过","能正确排出3个球的顺序","中间反应","能正确排出2个球的顺序或提示下全部排出","不通过","不能排出正确顺序"
"43","感知觉","触觉记忆","触摸物体按轻、重排列","把儿童的眼睛蒙上，让儿童触摸不同轻重的海绵块、木块、铁块，将它们按“从轻到重（从重到轻）的顺序排列”。","海绵块、木块、铁块等不同重量的物品各一个","60-72月","是","通过","能正确排出3块的顺序","中间反应","能正确排出2块的顺序或提示下全部排出","不通过","不能排出正确顺序"
"44","感知觉","味觉味觉反应","对3种不同味道作出反应","在日常生活或评估期间观察；或询问家长：儿童对不同的味道有反应吗？是什么味道或什么反应？ 注：如果家长不能自己列举出有反应的3种味道，或不明白问题，则说出一些例子供其参考。","观察项目","0-12月","是","通过","对3种味道（如：如甜、咸的汤水或署条；酸的果汁；苦的药水）作出正确反应（如：面部表情作出转变、舔嘴唇或舔舌头或吐出舌头）","中间反应","对其中1-2种味道能作出正确反应","不通过","对3种味道都不能作出正确反应，沉迷、过敏或迟钝"
"45","感知觉","味觉辨别","分辨酸、甜味道","测试员分别让儿童品尝，提问：“哪种食物是酸的？哪种食物是甜的？”观察儿童能否说出。","准备酸、甜、2种味道的食物的（如：酸梅、甜饼干），","12-24月","是","通过","能正确辨认酸、甜味道","中间反应","能说出或指出其中1种味道或提示下全部辨别出","不通过","2种味道都不能说出或指出"
"46","感知觉","味觉辨别","分辨咸、苦味道","测试员分别让儿童品尝，提问：“哪种食物是咸的？哪种食物是苦的？”观察儿童能否说出。","准备咸、苦2种不同味道的食物（如：咸饼干、黄连素药粉）","12-24月","是","通过","能正确辨认咸、苦味道","中间反应","能说出或指出其中1种味道或提示下全部辨别出","不通过","2种味道都不能说出或指出"
"47","感知觉","味觉辨别","辨别食物的冷热","分别让儿童喝冷开水和温开水，问：“哪杯水冷、哪杯水热？”观察并记录儿童是否能分别指出冷开水、温开水。","准备冷开水和温开水各一杯","24-36月","是","通过","能正确说出（指出）冷开水和温开水","中间反应","能说出或指出其中一个或提示下全部辨别出","不通过","冷热都不能说出或指出"
"48","感知觉","味觉记忆","辨别各种味道的浓和淡（如：甜味）","分别让儿童品尝，问：“哪杯糖水味道浓，哪杯糖水味道淡？”观察并记录儿童是否能指出（说出）。","准备浓糖水和淡糖水各一小杯","36-48月","是","通过","能正确说出（指出）浓糖水和淡糖水","中间反应","能说出或指出其中1个或提示下全部辨别出","不通过","2杯都不能说出或指出"
"49","感知觉","辨别食物的软、硬和滑、粗","准备香蕉、苹果和汤圆、糙米饭","分别让儿童品尝汤圆和米饭，提问：“哪种食物滑？哪种粗糙？”观察记录。（可在日常生活中测试观察）","","48-60月","是","通过","能正确说出（指出）汤圆滑、糙米饭粗糙","中间反应","能说出或指出其中1种或提示下全部辨别出","不通过","2种都不能说出或指出"
"50","感知觉","辨别食物的软、硬和滑、粗","识别混合味道的食物","让儿童品尝鸡蛋饼或苹果烙，提问：“你吃的是什么食物？”观察记录。","准备鸡蛋饼或苹果烙各一份","60-72月","是","通过","能正确说出（指出）鸡蛋饼（苹果烙）名称","中间反应","提示下说出（比划出）名称","不通过","不能说出或比划出名称"
"51","感知觉","嗅觉嗅觉反应","对3种不同气味作出反应","在日常生活中或评估期间观察；或询问家长：儿童对不同的气味有反应吗？是什么气味或什么反应？ 注：如果家长不能自己举出有反应的3种气味，或不明白问题，则说出一些例子，以供其参考。","观察项目","0-12月","是","通过","对3种气味（香、酸、臭）作出正确反应（如：面部表情作出转变、头部转移以避开或发出声音）","中间反应","对其中1-2种气味能作出正确反应","不通过","对3种气味都不能作出正确反应，沉迷、过敏或迟钝"
"52","感知觉","嗅觉辨别","分辨香、臭气味","拿出少量香水和臭豆腐，让儿童闻一闻，问：“哪个是香的，哪个是臭的？”","准备香水和臭豆腐各一份","12-24月","是","通过","能正确说出（指出）香水是香的，臭豆腐是臭的","中间反应","说出（指出）1种或提示下说出（指出）2种","不通过","不能正确说出或指出任1种"
"53","感知觉","依气味配对","准备樟脑丸、臭豆腐、香水、香皂等等","让儿童把相同气味的放在一起。","","48-60月","是","通过","能正确摆放樟脑丸和臭豆腐及香水和香皂","中间反应","能摆放1对或提示下完成全部","不通过","不能完成任务"
"54","感知觉","嗅觉记忆","根据气味，指出或说出常见的食物","蒙住儿童眼睛，闻气味，问：“哪个是蛋糕，哪个是巧克力？”","准备蛋糕、巧克力各一份","24-36月","是","通过","能正确说出（指出）蛋糕、巧克力","中间反应","能说出（指出）1种或提示下说出（指出）2种","不通过","不能正确说出或指出任1种"
"55","感知觉","嗅觉记忆","根据气味，说出两种水果的名称","蒙住儿童眼睛，闻气味，问：“哪个是香蕉，哪个是苹果？”","准备香蕉和苹果各一份","24-36月","是","通过","能正确说出（指出）香蕉和苹果","中间反应","能说出（指出）1种或提示下说出（指出）2种","不通过","不能正确说出或指出任1种"
"1","粗大动作","姿势坐姿","坐姿双手离地，转动躯干","测试员将玩具放在儿童身后，说“转过来拿玩具”。左右各一次。","玩具","7-8月","是","通过","躯干转180度，转身时双手离地（双侧）","中间反应","躯干转180度，转身时双手离地（单侧）","不通过","转身后双手离地无法保持平衡"
"2","粗大动作","扶桌子由站转至坐地","桌子高度在儿童腰部至肩膀之间","测试员扶儿童站在桌旁，玩具放在地上，对儿童说：“坐下玩玩具”。","","10-12月","是","通过","扶着桌子慢慢屈膝坐在地上","中间反应","需他人扶持能扶着桌子慢慢屈膝坐在地上","不通过","无反应"
"3","粗大动作","扶桌子由站转至坐地","坐矮凳上弯腰拣拾地上玩具","儿童坐在矮凳上,测试员示意其拾起地上玩具,说“把玩具捡起来”。","矮凳（凳高约及儿童膝部），玩具","12-24月","是","通过","弯腰捡起玩具并保持平衡30秒以上","中间反应","弯腰捡起玩具并保持平衡15~29秒","不通过","弯腰捡起玩具，无法保持平衡"
"4","粗大动作","站姿","独自站立5秒","观察儿童日常反应，测试员计算站立时间。","秒表","12-24月","是","通过","独自站立达10秒","中间反应","独自站立5~9秒","不通过","独自站立不足5秒"
"5","粗大动作","站姿","站立时能弯腰拣拾地上物品","儿童站立，测试员放玩具在地上，对其说“捡起来”。","玩具","12-24月","是","通过","站立时能弯腰拾起玩具，然后站直，并保持身体平衡","中间反应","独自站立，捡拾物品后短暂保持平衡","不通过","独自站立，弯腰捡拾物品后无法保持身体平衡"
"6","粗大动作","单脚站","单脚站5秒","测试员示范单脚站，另一腿屈膝，双手叉腰。对儿童说：“两手叉腰，像我这样一只脚站”。观察儿童动作表现。","秒表","30-48月","是","通过","双手叉腰，无任何扶持，左或右脚单脚站5秒","中间反应","双手叉腰，无任何扶持，左或右脚单脚站2-4秒","不通过","单脚站不足2秒，或需要扶持才能单脚站。或无法模仿测试员动作"
"7","粗大动作","单脚站","单脚站10秒左右轮流","测试员示范单脚站，另一腿屈膝，双手叉腰。说：“两手叉腰，像我这样一只脚站”。观察儿童动作表现。","秒表","53-60月","是","通过","双手叉腰，无任何扶持，左右脚均能站10秒。身体晃动不超过20度","中间反应","双手叉腰，无任何扶持，左或右脚单脚站5~9秒。身体晃动不超过20度","不通过","单脚站不足5秒，或不能换脚。或身体晃动超过20度。或无法模仿测试员动作"
"8","粗大动作","脚尖站","脚尖站8秒","测试员示范脚尖站，同时双手举过头保持3秒。然后对幼儿说：“把两手举过头，然后像我这样脚尖站。”并计时。","秒表","43-52月","是","通过","脚尖站8秒，双手举过头，脚不移动，身体晃动不超过20度","中间反应","脚尖站5~7秒，双手举过头，脚不移动，身体晃动不超过20度","不通过","脚尖站小于5秒，或晃动幅度大于20度，或无法模仿测试员动作"
"9","粗大动作","移动爬行","灵活爬行","测试员将儿童以手膝位放在平面上，将玩具放在距儿童前方1.5米处。说：“拿玩具”。当儿童接近时将玩具后移。","地垫","9-10月","是","通过","以交叉模式（一侧上肢与另侧下肢一起移动）手膝向前爬行1.5米","中间反应","以交叉模式手膝向前爬行1.2米，或以非交叉模式爬行1.5米","不通过","匍匐爬，或未移动"
"10","粗大动作","移动爬行","爬上楼梯","儿童坐在楼梯下，面对楼梯。测试员将玩具放在第三阶上，对儿童说：“去拿玩具”。必要时在儿童接近后将玩具移到上一层。做好准备在儿童失去平衡后及时抓住儿童，避免危险。如儿童站起身拿玩具，可示范其爬上楼梯的动作。","玩具","12-24月","是","通过","以手膝爬上2阶楼梯，拿到玩具","中间反应","以手膝爬上1阶楼梯","不通过","没有爬的动作"
"11","粗大动作","移动爬行","爬下楼梯","让儿童双膝跪在第四阶台阶上，双手扶第5阶台阶。测试员站在下面对其说：“到我这来”。必要时后退。","","12-24月","是","通过","独自倒退爬下3个台阶","中间反应","独自倒退爬下1~2个台阶","不通过","没有爬的动作，仍在第4个台阶上"
"12","粗大动作","坐","臀部移动","儿童坐在地面，测试员坐在他身旁，示范用双手驱动，臀部向前移行，拿放置在前方地上的玩具。然后对儿童说：“像我一样去拿玩具。”","玩具","9-10月","是","通过","保持坐姿，用手和腿向前移动90厘米","中间反应","保持坐姿，用手和腿向前移动30~60厘米","不通过","向前移动小于30厘米"
"13","粗大动作","坐","坐位转圈","儿童坐在地面。测试员将玩具放在其身体右侧60厘米处，对他说：“转过去拿玩具”，观察其运动。左侧重复一次。","玩具","9-11月","是","通过","以臀部为轴，以上下肢驱动身体90度（左右两侧）","中间反应","以臀部为轴，以上下肢驱动身体90度（单侧）","不通过","转体小于90度"
