"排序","分组","领域","评估项目","操作描述","所需材料","适用年龄","是否必答","评分分值_高_标签","评分分值_高_说明","评分分值_中_标签","评分分值_中_说明","评分分值_低_标签","评分分值_低_说明"
"17","精细动作","逐页翻书","扭动玩具发条","测试员示范将玩具发条扭几次，然后对儿童说：“你来扭扭看”。 或日常观察此动作。","有大发条的玩具","24-36月","是","通过","把发条扭动2次以上，扭动幅度45度以上","中间反应","扭动发条1-2次，扭动幅度低于45度","不通过","无法扭动发条"
"18","精细动作","双手配合","用双手把玩物品","测试员将玩具放在儿童的一只手中，对他说：“给你玩”。观察儿童如何把玩。","儿童玩具","4-5月","是","通过","用双手把玩玩具","中间反应","用单手玩玩具，或用手指轻碰玩具","不通过","不用手接触玩具"
"19","精细动作","双手配合","积木互击","测试员让儿童面对桌子坐好，将一块积木放在儿童左手，然后将第二块积木放在儿童右手附近，说：“再拿一块积木，一起敲”。必要时示范。","积木2块","9-12月","是","通过","拿第二块积木，将两块积木在身体中线处碰击","中间反应","拿起第二块积木，但未将积木碰击","不通过","没拿第二块积木"
"20","精细动作","双手配合","双手拆玩具","测试员示范将拼在一起的塑料玩具拆开，然后对儿童说：“你来打开它”。 提示儿童用双手。","比较松的拼插玩具","12-24月","是","通过","双手拆开拼在一起的玩具","中间反应","试图拆开玩具，但未成功","不通过","用其他方式把玩玩具"
"21","精细动作","双手配合","双手拼装玩具","测试员示范将两块拼插玩具拼在一起，然后将两块交给儿童，对儿童说：“你来拼起来”。","拼插玩具","24-36月","是","通过","双手将两块拼在一起","中间反应","试图将两块玩具拼在一起，但未成功","不通过","用其他方式把玩玩具"
"22","精细动作","双手配合","双手拼装较紧较小玩具","测试员将4块乐高玩具放在儿童面前，对他说：“把它们拼在一起”。 提示儿童用双手拿着玩具然后拼起来，不要将玩具按在桌面上拼。","较小的拼插玩具（乐高）","48-60月","是","通过","双手将两块拼在一起","中间反应","试图将两块玩具拼在一起，但未成功","不通过","用其他方式把玩玩具，无拼插意图"
"23","精细动作","套圈","塑料棒及大小配套的塑料圈3个","测试员示范一手拿塑料棒，另一手把一个塑料圈套在棒上，然后将塑料棒和塑料圈分别让儿童用两手拿着，对儿童说：“把圈圈套在上面”。","","12-24月","是","通过","一手拿小棒，用另一手把塑料圈套上，完成2-3个","中间反应","将1个塑料圈套在棒上","不通过","用其他非两手配合方式套圈"
"24","精细动作","套圈","拧开瓶盖","测试员把一些食物小丸放在瓶内，把瓶盖拧上（但不要拧得非常紧）。把瓶子拿给儿童，对他说：“打开瓶盖拿吃的”。","有瓶盖的瓶子、食物粒","24-36月","是","通过","能够拧开瓶盖","中间反应","试图拧开瓶盖，在测试员辅助下能拧开","不通过","摇动瓶子，无拧开瓶盖的意图"
"25","精细动作","套圈","穿洞板","测试员示范一手握着洞板，另一手拿绳，把绳穿过洞板上的孔，然后双手以交替动作拉绳和固定洞板，重复穿过2个孔，然后对儿童说：“你来继续穿下去”。","有洞的木板或塑料板，绳子","48-60月","是","通过","一手拿洞板，另一手拿绳穿孔，双手交替至少穿过2个孔","中间反应","一手拿洞板，另一手拿绳穿孔，双手交替至少穿过1个孔","不通过","无法穿绳入孔"
"26","精细动作","手眼协调","叠起2块积木","测试员让儿童坐在桌前，桌上放着积木。测试员示范将一块积木小心地搭在另一块上，使各个边对齐，一共搭3层。然后对儿童说：“你也来搭一座楼”。","积木6块","12-24月","是","通过","搭起2块积木","中间反应","试图搭2块积木，但未成功","不通过","没有搭积木的意识，或没表现出想搭积木的意图"
"27","精细动作","手眼协调","叠起7块积木","测试员让儿童面对桌子坐好，将积木并排放在桌上，并示范小心地用积木搭起一座7层楼，积木各边尽可能保持对齐。把积木重新放回桌上，对儿童说：“像我刚才那样搭一座高楼”。","积木10块","24-36月","是","通过","搭起7块积木","中间反应","搭起3-6块积木","不通过","搭起2块积木"
"28","精细动作","手眼协调","叠起10块积木","测试员将积木并排放在桌上，并示范小心地用积木搭起一座10层楼，积木各边尽可能保持对齐。保留搭好的楼几秒后推倒，然后把10块积木放在儿童面前，说：“像我刚才那样搭一座高楼”。","积木10块","36-48月","是","通过","搭起10块积木","中间反应","搭起9块积木","不通过","搭少于9块积木"
"29","精细动作","手眼协调","穿中号的珠子","测试员示范如何将珠子串在鞋带上，尽可能让儿童看得清楚。示范动作需慢。串好两粒珠子后，把另外4粒珠子和鞋带交给儿童，说：“像我一样串珠子”。","一条鞋带（鞋带两头有塑料包好，方便串珠）、直径1.5厘米的方形珠子6粒","24-36月","是","通过","串入4粒珠子","中间反应","串入3粒珠子","不通过","串入2粒珠子"
"30","精细动作","手眼协调","穿小号的珠子","测试员先示范用细线穿珠，然后对儿童说：“像我一样，穿3粒珠子”。","直径1厘米的珠子、细绳一条","36-48月","是","通过","在5分钟内能够穿好3粒珠子","中间反应","试图穿珠子，在测试员辅助下能够穿上珠子","不通过","无穿珠意图，或对测试员的示范无反应"
"31","精细动作","手眼协调","穿微型的珠子","测试员先示范用细线穿珠，然后对儿童说：“像我一样，穿3粒珠子”。","直径2.5毫米珠子5粒、塑料细绳1根","60-72月","是","通过","在5分钟内能够穿好3粒珠子","中间反应","试图穿珠子，在测试员辅助下能够穿上珠子","不通过","无穿珠意图，或对测试员的示范无反应"
"32","精细动作","手眼协调","穿鞋带","测试员给儿童看纸板，对儿童说：“看我穿鞋带”。示范给儿童将鞋带自上而下穿第1个孔，然后自下而上穿第2孔，然后再自上而下穿第3孔。给儿童看穿好鞋带的纸板，然后取出鞋带。把纸板和鞋带一起交给儿童，说：“像我一样做”。","有一排孔的纸板或塑料板（6孔）、鞋带","36-40月","是","通过","模仿测试员动作，穿进1孔或以上","中间反应","在教师动作或语音辅助下穿进1孔","不通过","没有穿孔的意图"
"33","精细动作","从洞板中拿出小柱子","分布着圆孔的木板，孔内插直径1.5厘米的小圆柱4个","测试员让儿童面对桌子坐好，将一个分布着圆孔的木板放在儿童面前，木板上松松的插着4个小圆柱。对儿童说：“拿出小圆柱”。","","12-24月","是","通过","拿出4根圆柱","中间反应","拿出2-3圆柱","不通过","拿出1根圆柱或没有拿出圆柱"
"34","精细动作","从洞板中拿出小柱子","将小珠子放进小瓶里","测试员将窄口瓶和10粒珠子放在儿童面前，说：“尽快把珠子放进瓶子，每次放一粒。”","窄口瓶、10粒小珠子","41-42月","是","通过","在30秒内放入10粒珠子","中间反应","在31-60秒内放入5-10粒珠子","不通过","在60秒内把少于4粒珠子放入瓶内"
"35","精细动作","从洞板中拿出小柱子","解扣子","测试员将纽扣带或衣服放在儿童面前，对他说：“用最快速度解开扣子”。","纽扣带或一件衣服、秒表","41-42月","是","通过","能解开3粒扣子","中间反应","试图解开扣子，在测试员辅助下能解开","不通过","无解开扣子的意图"
"36","精细动作","从洞板中拿出小柱子","系扣子","测试员将纽扣带或衣服上的扣子解开放在儿童面前，对他说：“用最快速度扣上扣子再解开扣子”。","纽扣带或一件衣服、秒表","42-48月","是","通过","在20秒内扣上又解开1粒扣子","中间反应","在测试员辅助下可以扣上又解开1粒扣子","不通过","没有尝试扣扣子"
"37","精细动作","从洞板中拿出小柱子","快速对指","测试员把手放在儿童能看清手指动作的地方。以每秒对指一次的速度，从食指开始，每次一个手指，依次碰拇指。说：“用你最快的速度像我一样做”。","","48-53月","是","通过","拇指能与其他四个手指相触","中间反应","拇指能与其他四个手指之一相触","不通过","没有表现出对指的意图"
"38","精细动作","从洞板中拿出小柱子","折纸","测试员将一张纸的长边提前对折，不让儿童看到，然后把这张纸放在桌上。给儿童另一张纸，对他说：“把你的纸也折成这张纸的样子”。","两张A4纸","55-56月","是","通过","将纸对折，两边平行","中间反应","能将纸对折，两边没有达到平行","不通过","没有折纸的意识"
"39","精细动作","握笔写画","用掌心握笔","测试员将一只记号笔和一张纸放在桌上，对儿童说：“我们来画画”。可示范。观察儿童如何握笔。","记号笔一只、A4纸一张","12-24月","是","通过","以拇指食指靠近纸的方向捏笔，其余三指环绕握笔","中间反应","以拇指在上、小指靠近纸的姿势握笔","不通过","没有拿笔"
"40","精细动作","握笔写画","用拇指、食指和中指握笔","测试员将一只笔和一张纸放在儿童面前的桌上，对他说：“画一画”。","记号笔、纸","41-42月","是","通过","用拇指和食指指腹握笔，其余三个手指抵住手掌；笔的上段靠在拇指和食指之间。涂鸦时手整体移动","中间反应","用拇指和食指指腹握笔，笔的上段靠在拇指和食指之间","不通过","用拇指和食指握笔"
"41","精细动作","握笔写画","握笔在纸上涂鸦","测试员让儿童坐在桌前，拿笔在纸上画两条6厘米长的竖线，将另外一张纸和笔放在儿童面前，对他说：“像我刚才那样画”。","记号笔两只、纸两张","12-24月","是","通过","至少画出一条大于4厘米的线","中间反应","画出大于2厘米的线","不通过","拿笔接触纸，但未画出线"
"42","精细动作","握笔写画","仿画竖线","测试员抱儿童坐在桌前，拿笔在纸上画两条6厘米长的竖线，将另外一张纸和比放在儿童面前，对他说：“像我一样从上到下画一条竖线”。","记号笔2支，纸2张","23-24月","是","通过","画出一条大于5厘米的线，偏离垂直面20度以内","中间反应","画出5厘米的线，但垂直面21-45度","不通过","画线不足5厘米，或者偏离垂直面大于45度"
"43","精细动作","握笔写画","仿画横线","测试员在纸上画2条8厘米的横线。将另一张纸和笔交给儿童，对他说：“像我一样画一条线”。","记号笔2支，纸2张","27-28月","是","通过","画5厘米的横线，偏离水平面20度内","中间反应","画5厘米横线，但偏离水平面21-45度","不通过","画线短于5厘米，或偏离水平面大于45度"
"44","精细动作","握笔写画","仿画圆形","测试员将纸笔放在儿童面前的桌上，把画有圆形的卡片展示给儿童，并放在纸的上方，对儿童说：“画一个圆”。","记号笔、纸、画有○的卡片","33-36月","是","通过","画的圆形闭合处在1厘米内","中间反应","画的圆至少完成3/4，终点离起点在1-2厘米内","不通过","画圆完成少于3/4，或起点终点两端相距超过2厘米"
"45","精细动作","握笔写画","仿画十字","测试员将纸笔放在儿童面前，将画有十字的卡片放在纸上方。指着卡片上的十字对儿童说：“像这样画两条交叉的线”。","记号笔、纸、画有十字的卡片","39-42月","是","通过","仿画两条交叉的线，两条线垂直度接近直角，偏离垂直不超过20度，交点两边的线段长度相差小于0.5厘米","中间反应","画两条相交线，两条线夹角小于45度，交点两边的线段长度相差大于0.5厘米","不通过","画的两条线不相交"
"46","精细动作","握笔写画","仿画正方形","测试员将纸笔放在儿童面前，给儿童看画着正方形的卡片，把卡片放在纸的上方，说：“画正方形”。","记号笔、纸、画有正方形的卡片","49-50月","是","通过","线画的直，且偏离水平和垂直小于15度，四角闭合","中间反应","画线偏离水平和垂直16-30度，或有一个角未闭合","不通过","画线偏离水平或垂直大于30度，或有两个角未闭合"
"47","精细动作","握笔写画","连线","测试员在纸上画两个距离10厘米的平行的点，然后放在儿童面前，将笔交给儿童，先用手指一个点，然后指另一个点，说：“从这个点到那个点画一条线”。","记号笔、A4纸","53-54月","是","通过","在两点间连线，偏离水平不超过0.5厘米","中间反应","在两点间连线，偏离水平0.5-1厘米","不通过","无法在两点间连线，或者偏离水平超过1厘米"
"48","精细动作","握笔写画","在指定范围内画直线","测试员将纸笔放在儿童面前，示范在两条线内画线不出界，对儿童说：“在这里画线，不要出界”。","记号笔、A4纸；纸上画两条间隔1厘米的平行横线","36-48月","是","通过","在两条间距1厘米的直线间画线不出界","中间反应","画线偏离上线或下线0.5-1厘米","不通过","无法在两条直线间画线，或者偏离上下线超过1厘米"
"49","精细动作","握笔写画","在指定范围内画曲线","测试员将纸笔放在儿童面前，示范在两条线内画线不出界，对儿童说：“在这里画线，不要出界”。","记号笔、A4纸；纸上画两条间隔1厘米的平行曲线","48-60月","是","通过","在两条间距1厘米的曲线间画线不出界","中间反应","画线偏离上线或下线0.5-1厘米","不通过","无法在两条曲线间画线，或者偏离上下线超过1厘米"
"50","精细动作","握笔写画","描画曲线","测试员将纸笔放在儿童面前，示范沿着虚线画，对儿童说：“沿着虚线画，不要画出界”。","纸笔、纸上印有虚线画成的横向曲线约4厘米","48-60月","是","通过","沿虚线画线，出界不超过2次，且不超过1厘米","中间反应","沿虚线画线，出界3-4次，且不超过1厘米","不通过","无法沿虚线画线"
"51","精细动作","握笔写画","线内涂色","测试员将纸笔放在儿童面前，用食指指示儿童看两条线，说：“只能在这两条线之间涂颜色”。","彩色笔、画有两条平行线的纸","59-60月","是","通过","涂满两线之间的3/4空间，越线不超过2次","中间反应","涂满两线之间的3/4空间，越线3-4次","不通过","越线超过4次"
"52","精细动作","握笔写画","抄写文字","测试员将方格纸和笔交给儿童，然后将字卡放在儿童面前，对他说：“把这些字抄在方格纸上，不要写到格子外面”。","方格纸（格子边长2厘米）、字卡（上面有口、上、下、大、小等字）、笔","60-72月","是","通过","能够在方格内抄写4个字，5个字中出界不超过2次","中间反应","能够抄写3个字，出界不超过3次","不通过","抄写字2个以下，或抄写的字均出界"
"53","精细动作","工具使用","用刀切开橡皮泥","测试员示范用塑料刀切开条状橡皮泥，然后把橡皮泥和塑料刀交给儿童，对儿童说：“你来切切看”。","橡皮泥、塑料刀","24-36月","是","通过","双手配合地用塑料刀把橡皮泥大致平均切成两半","中间反应","单手拿塑料刀切开橡皮泥","不通过","用塑料刀碰到橡皮泥，但没有切开"
"54","精细动作","工具使用","把橡皮泥搓成条状","测试员示范在桌面上将橡皮泥搓成条状，然后把橡皮泥交给儿童，对他说：“你也来做个香肠”。","橡皮泥","36-48月","是","通过","双手配合地把橡皮泥搓成条","中间反应","把玩橡皮泥，捏成其他形状","不通过","触摸到橡皮泥，但不去玩"
"55","精细动作","拉开后套上笔套","有笔套的笔2枝","测试员示范将笔套拉开然后插在笔的另一端，把另一枝笔交给儿童，说：“你也来试试看”。","","24-36月","是","通过","拉开笔套，然后把笔套插在另一端","中间反应","拉开笔套，没有插在另一端","不通过","无法拉开笔套，或把玩笔"
"56","精细动作","拉开后套上笔套","用胶棒贴配对图形","测试员示范用胶棒涂抹图形，然后将它贴在纸上对应的图形上，完成3个。然后对儿童说：“请你像我一样，把图形贴在纸上对应的位置，不要出界”。","一张贴着5厘米高的正方形、三角形、圆形的纸，大小相同的三种图形、胶棒","36-48月","是","通过","使用胶棒把图形贴在纸上对应位置，超过边界不多于3毫米","中间反应","在测试员辅助下使用胶棒把图形贴在纸上对应位置，超过边界不多于5毫米","不通过","辅助下仍不会使用胶棒或贴图超过边界6毫米以上"
"57","精细动作","拉开后套上笔套","盖印章画","测试员示范把印章压在印台上，然后印在纸上，对儿童说：“你看我在印画呢，你也来印”。","印章、印台、纸","36-48月","是","通过","能使用印章印出清晰的图案","中间反应","可以使用印章，但印的图案比较模糊，看不清原本图案","不通过","不会使用印章印画"
"58","精细动作","拉开后套上笔套","剪纸","测试员先示范使用剪刀剪纸，并且尽可能使儿童看清楚。在一张纸上剪开3处，然后把剪刀递给儿童，说：“你来剪剪看”。","儿童剪刀和纸","25-26月","是","通过","用剪刀剪开一处","中间反应","张开剪刀试图去剪纸","不通过","用剪刀碰到纸或没有想去剪的意图"
"59","精细动作","拉开后套上笔套","剪断纸条","测试员示范将一张纸条剪成两半，将剪刀和一张纸条放在儿童面前，说：“像我一样剪”。","儿童剪刀、宽5厘米的纸条","36-48月","是","通过","把纸条剪成两半","中间反应","把纸条剪开不足3/4","不通过","试图用剪刀剪"
"60","精细动作","拉开后套上笔套","延直线剪纸","测试员在纸上画一条直线，然后将剪刀和纸交给儿童，对他说：“沿着直线剪开”。","儿童剪刀、纸","48-60月","是","通过","剪开整条线，偏离直线在1厘米以内","中间反应","沿直线剪纸，偏离超过1厘米；或在教师辅助下可剪开直线","不通过","不会用剪刀剪"
"61","精细动作","拉开后套上笔套","剪圆形","测试员把纸和剪刀交给儿童，食指沿着圆移动，说：“沿着线把圆剪下来”。","儿童剪刀、画有圆形的纸","48-60月","是","通过","沿线剪，离线的左右不超过0.5厘米，能减3/4","中间反应","沿线的左右剪，在线左右的0.5-1厘米间，能剪1/3-1/4的圆","不通过","偏离线超过1厘米"
"62","精细动作","拉开后套上笔套","剪正方形","测试员将纸和画有正方形的纸交给儿童，并且用食指沿着正方形的边移动，对儿童说：“沿着线剪出正方形”。","儿童剪刀、画有正方形的纸（正方形边长5厘米）","48-60月","是","通过","剪下正方形，偏离线不超过0.5厘米","中间反应","剪下正方形，偏离线0.5-1厘米","不通过","剪下正方形，偏离线超过1厘米"
"63","精细动作","拉开后套上笔套","剪复杂图形","测试员将纸和画有正方形的纸交给儿童，并且用食指沿着多边形的边移动，对儿童说：“沿着线剪出图形”。","儿童剪刀，画着不规则图形的纸（图形是直线组成的5边形）","60-72月","是","通过","剪下图形，偏离线不超过0.5厘米","中间反应","剪下图形，偏离线0.5-1厘米","不通过","剪下图形，偏离线超过1厘米"
"64","精细动作","拉开后套上笔套","用橡皮擦掉格子内字体","测试员把纸和橡皮交给儿童，指着中间方格上的字说：“把格子里的字擦掉”。","一张有格子的纸（格子2×2cm），纸上写着文字，橡皮","48-60月","是","通过","用橡皮将格子里的字大致擦干净","中间反应","将字擦的大致干净，但不分格子里面还是外面","不通过","无法将字擦掉"
"65","精细动作","拉开后套上笔套","把纸张放进文件袋内","测试员示范将2张纸放入文件袋，然后把剩下的纸和文件袋交给儿童，说：“像我一样把纸放好”。","单边开口的透明塑料文件袋2个、A4纸4张","48-60月","是","通过","能把整张纸比较平整的放入文件袋","中间反应","将纸塞入文件袋，但不平整","不通过","无法将纸放入文件袋或将纸揉成纸团放入"
"66","精细动作","拉开后套上笔套","用直尺划线10cm","把纸笔及尺子交给儿童，把纸上的两个点指给他看，说：“你用尺子把这两个点连在一起，两边都不要超过这两个点”。","纸上画着两个相距10厘米的点、长度15厘米的硬尺、铅笔","60-72月","是","通过","一手扶尺，一手沿尺子画线，把两点连在一起，左右不超过1厘米","中间反应","用尺子将两点连线，但中间出现折线，即没有扶好尺子","不通过","无法用尺子画线"
"1","语言与沟通","语言与沟通前能力非语言沟通能力","目光接触","测试员让儿童的照顾者看着儿童的目光，观察儿童的反应。","","0-6月","是","通过","与照顾者有目光接触","中间反应","看照顾者的脸或屋顶","不通过","没有任何反应"
"2","语言与沟通","语言与沟通前能力非语言沟通能力","脸部动作","测试员面对着儿童微笑，观察儿童的反应。","","0-6月","是","通过","会向测试员微笑表示回应，时间不限","中间反应","盯着测试员的脸，没有任何表情","不通过","没有任何反应"
"3","语言与沟通","语言与沟通前能力非语言沟通能力","手部动作","测试员面对着儿童微笑，并将手伸向儿童，但不要碰触到儿童的身体，观察儿童的反应。","","0-6月","是","通过","会向测试员微笑表示回应，并上下摆动自己的手臂，碰触测试员的手","中间反应","只是盯着测试员的脸","不通过","没有任何反应"
"4","语言与沟通","语言与沟通前能力非语言沟通能力","迎合的头部与身体动作","照顾者去抱儿童，测试员要观察儿童的反应。","","6-12月","是","通过","头倾向照顾者的身体方向；或整个身体用力去迎合照顾者的拥抱；或做出点头的动作","中间反应","盯着照顾者，没有任何动作","不通过","没有任何反应"
"5","语言与沟通","语言与沟通前能力非语言沟通能力","抗拒的头部与身体动作","儿童不熟悉的测试员展开双手去抱儿童，观察儿童的反应。","","6-12月","是","通过","头背向测试员方向且倾向于照顾者的身体方向；或整个身体用力扭动抗拒测试员的拥抱；或做出摇头的动作","中间反应","盯着测试员的脸，没有任何动作","不通过","没有任何反应"
"6","语言与沟通","分辨声音","对声音的位置、音量、音调作出反应","测试员在距离儿童1米的距离内摆动摇铃，观察其反应。","摇铃一只","0-6月","是","通过","头朝向声音发出的方向","中间反应","有轻微反应","不通过","没有任何反应"
"7","语言与沟通","分辨声音","分辨人的声音与其他声音","测试员发出声音如“哈哈、哈哈”，观察其反应；测试员操作玩具狗，使其发出声音“汪汪、汪汪”，观察其反应。","摇铃一只或能够发出声音的动物玩具","0-6月","是","通过","听到人的声音，不会表现出明显的紧张，听到动物的声音会紧张和好奇","中间反应","有轻微反应","不通过","没有任何反应"
"8","语言与沟通","口腔器官的运动","双唇的运动","测试员将磨牙类玩具送到儿童的唇边，观察其反应。","磨牙类玩具","0-6月","是","通过","张开嘴巴，咬到玩具后双唇紧闭","中间反应","有轻微反应","不通过","没有任何反应"
"9","语言与沟通","口腔器官的运动","舌头的运动","测试员将蜂蜜涂抹在儿童的嘴角，观察其反应。","蜂蜜","6-12月","是","通过","伸出舌头舔到嘴角的蜂蜜","中间反应","微微伸出舌头又缩回去","不通过","没有任何反应"
"10","语言与沟通","口腔器官的运动","牙齿的运动","测试员将磨牙类玩具给儿童，观察其反应。","磨牙类玩具","6-12月","是","通过","将磨牙类玩具放在嘴里，用上下牙齿用力咬住","中间反应","有轻微反应","不通过","没有任何反应"
"11","语言与沟通","语言模仿模仿单音","模仿单韵母a、i、u","测试员拿起“a”的卡片对着儿童发“a”，观察儿童的反应。如果儿童发“a”，则再依次测试儿童对“i”和“u”的模仿。测试员测试一次后，如果没有反应，可以重复一次。","发音卡片（a、i、u）","0-6月","是","通过","盯着测试员的口部，模仿口型并分别发出“a”“i”“u”","中间反应","能够模仿其中一至两个音；或盯着测试员的口部，模仿口型但不能发出“a”“i”“u”","不通过","没有任何反应"
"12","语言与沟通","语言模仿模仿单音","模仿单韵母o、e、ü","测试员拿起“o”的卡片对着儿童发“o”，观察儿童的反应.如果儿童发“o”,则再依次测试儿童对“e”和“ü”的模仿。测试员测试一次后，如果没有反应，可以重复一次。","发音卡片（o、e、ü）","6-12月","是","通过","盯着测试员的口部，模仿口型并分别发出“o”“e”“ü”","中间反应","能够模仿其中一至两个音；或盯着测试员的口部，模仿口型但不能发出“o”“e”“ü”","不通过","没有任何反应"
"13","语言与沟通","语言模仿模仿单音","模仿声母b、p、m","测试员拿起“b”的卡片对着儿童发“b”，观察儿童的反应。如果儿童发“b”，则再依次测试儿童对“p”和“m”的模仿。测试员测试一次后，如果没有反应，可以重复一次。","发音卡片（b、p、m、）","6-12月","是","通过","盯着测试员的口部，模仿口型并分别发出“b”“p”“m”","中间反应","能够模仿其中一至两个音；或盯着测试员的口部，模仿口型但不能发出“b”“p”“m”","不通过","没有任何反应"
"14","语言与沟通","语言模仿模仿单音","模仿声母h、d、t、g","测试员拿起“h”的卡片对着儿童发“h”，观察儿童的反应。如果儿童发“h”，则再依次测试儿童对“d”、“t”和“g”的模仿。测试员测试一次后，如果没有反应，可以重复一次。","发音卡片（h、d、t、g）","12-18月","是","通过","盯着测试员的口部，模仿口型并分别发出“h”“d”“t”“g”","中间反应","能够模仿其中一至三个音；或盯着测试员的口部，模仿口型但不能发出“h”“d”“t”“g”","不通过","没有任何反应"
"15","语言与沟通","模仿声母k、f、l、s、ch、n、z、c","k、f、l、s、ch、n、z、c","测试员拿起“k”的卡片对着儿童发“k”，观察儿童的反应。如果儿童发“k”，则再依次测试儿童对“f”、“l”、“s”、“ch”、“z”、“n”和“c”的模仿。测试员测试一次后，如果没有反应，可以重复一次。","","18-24月","是","通过","盯着测试员的口部，模仿口型并分别发出“k”“f”“l”“s”“ch”“n”“z”“c”","中间反应","能够模仿其中一至七个音；或盯着测试员的口部，模仿口型但不能发出“k”“f”“l”“s”“ch”“n”“z”“c”","不通过","没有任何反应"
"16","语言与沟通","模仿声母j、q、x、r、sh、zh","j、q、x、r、sh、zh","测试员拿起“j”的卡片对着儿童发“j”，观察儿童的反应。如果儿童发“j”，则再依次测试儿童对“q”、“x”、“r”、“zh”和“sh”的模仿。测试员测试一次后，如果没有反应，可以重复一次。","","24-36月","是","通过","盯着测试员的口部，模仿口型并分别发出“j”“q”“x”“r”“sh”“zh”","中间反应","能够模仿其中一至五个音；或盯着测试员的口部，模仿口型但不能发出“j”“q”“x”“r”“sh”“zh”","不通过","没有任何反应"
"17","语言与沟通","模仿叠音词","模仿爸爸、妈妈","测试员然后让儿童看着自己的口型变化，并说：“妈妈”，观察儿童的反应。如果儿童说出“妈妈”或“妈”，则继续进行测试，如“爸爸”，观察儿童的反应，测试中第一次儿童没有反应，可以重复测试一次。","","6-12月","是","通过","盯着测试员的口部，模仿口型“妈妈”、“爸爸”或者“妈”、“爸”","中间反应","能模仿“爸爸”的发音或“妈妈”的发音；或者儿童盯着测试员的口部，模仿口型但不能发出“妈妈”、“爸爸”或者“妈”、“爸”","不通过","没有任何反应"
"18","语言与沟通","模仿叠音词","模仿嘟嘟","测试员将玩具汽车给儿童看，然后让儿童看着自己的口型变化，并说：“这是汽车，嘟嘟、嘟嘟、嘟嘟”，观察其反应。","玩具汽车","6-12月","是","通过","盯着测试员的口部即时模仿“嘟嘟”","中间反应","张开嘴巴发出一些模糊的声音，但不是“嘟嘟”","不通过","没有任何反应"
"19","语言与沟通","模仿表示物品的词","模仿“猫”、“狗”、“鸭”、“鹅”的发音","测试员将“猫”的图片给儿童看，然后让儿童看着自己的口型变化，并说：“猫”，观察其反应。如果儿童及时模仿，再测试儿童对“狗”、“鸭”、“鹅”的模仿。如果儿童不能即时模仿，需要测试员重复测试一次。","表示“猫”、“狗”、“鸭”、“鹅”的图片","12-18月","是","通过","盯着测试员的口部即时模仿“猫”、“狗”、“鸭”、“鹅”","中间反应","能够模仿“猫”、“狗”、“鸭”、“鹅”中一至三个的发音；或者儿童张开嘴巴发出一些模糊的声音，但不是“猫”、“狗”、“鸭”、“鹅”","不通过","没有任何反应"
"20","语言与沟通","模仿表示物品的词","模仿“大”“好”的发音","测试员让儿童看着自己的口型变化，并说：“大”，观察其反应。如果儿童及时模仿，再测试儿童对“好”的模仿。如果儿童不能即时模仿，需要测试员重复测试一次。","","18-24月","是","通过","盯着测试员的口部即时模仿“大”、“好”","中间反应","能够模仿“大”或“好”其中一个的发音；或者儿童张开嘴巴发出一些模糊的声音，但不是“大”、“好”","不通过","没有任何反应"
"21","语言与沟通","模仿表示物品的词","模仿数量“1—10”的发音","测试员将“1”的图片给儿童看，然后让儿童看着自己的口型变化，并说：“1”，观察其反应。如果儿童及时模仿，再测试儿童对“2、3……”的模仿。如果儿童不能即时模仿，需要测试员重复测试一次。","表示数量的卡片“1、2、3、4、5、6、7、8、9、10”","18-24月","是","通过","盯着测试员的口部并即时分别模仿“1、2、3、4、5、6、7、8、9、10”","中间反应","能够模仿其中一至九个数字的发音；或者儿童张开嘴巴发出一些模糊的声音，但不是“1、2、3、4、5、6、7、8、9、10”","不通过","没有任何反应"
