"排序","分组","领域","评估项目","操作描述","所需材料","适用年龄","是否必答","评分分值_高_标签","评分分值_高_说明","评分分值_中_标签","评分分值_中_说明","评分分值_低_标签","评分分值_低_说明"
"26","社会交往","社交礼仪近距离打招呼","握手表达问候","测试员对儿童说：“你好”，观察儿童的反应。如果儿童没有反应，测试员再说一次。","","36-48月","是","通过","看着测试员，并与测试员握手","中间反应","眼睛盯着测试员，无表情或语言","不通过","没有任何反应"
"27","社会交往","社交礼仪近距离打招呼","用“你好”，并握手用“早上好、晚上好---”回应别人的问候","如果是在上午进行测试，测试员对儿童说：“早上好”，观察儿童的反应。如果在下午测试，测试员对儿童说“晚上好”如果儿童没有反应，测试员再说一次。","","36-48月","是","通过","看着测试员，并与测试员握手","中间反应","眼睛盯着测试员，无任何表情或语言","不通过","没有任何反应"
"28","社会交往","社交礼仪近距离打招呼","用“叔叔好、阿姨好---”问候，并握手","测试员对儿童说：“你好”，观察儿童的反应。如果儿童没有反应，测试员再说一次。","","48-60月","是","通过","看着测试员，说：“叔叔好”或“阿姨好”，并与测试员握手","中间反应","眼睛盯着测试员，无表情或语言","不通过","没有任何反应"
"29","社会交往","社交礼仪近距离打招呼","用“你好”，并握手","测试员对儿童说：“你好”，观察儿童的反应。如果儿童没有反应，测试员再说一次。","","60-72月","是","通过","看着测试员，说：“你好”，并与测试员握手","中间反应","眼睛盯着测试员，无表情或语言","不通过","没有任何反应"
"30","社会交往","远距离打招呼","用“叔叔好、阿姨好---”回应，并挥手","测试员对儿童挥手说：“你好---”，观察儿童的反应。如果儿童没有反应，测试员再说一次。","","36-48月","是","通过","看着测试员，挥手回应：“叔叔好---”","中间反应","眼睛盯着测试员，无挥手动作或语言","不通过","没有任何反应"
"31","社会交往","自我介绍","被动介绍，儿童回答别人对自己名字的提问","测试员看着儿童说“你好，我是---”，观察儿童的反应。如果儿童没有反应，测试员问儿童：“小朋友，你叫什么名字？”","","24-36月","是","通过","看着测试员，回答测试员：“XX”（XX表示儿童的名字）","中间反应","眼睛盯着测试员，向后退","不通过","没有任何反应"
"32","社会交往","自我介绍","主动自我介绍：“叔叔好，我叫XX”","测试员看着儿童说“你好，我是XX老师”，观察儿童的反应。如果儿童没有反应，可以再测试一次。","","36-48月","是","通过","看着测试员，回应测试员：“叔叔好，我叫XX”（XX表示儿童的名字）","中间反应","眼睛盯着测试员，向后退","不通过","没有任何反应"
"33","社会交往","近距离的告别","妈妈离开时，儿童盯着妈妈并双手臂上下摆动","测试员让儿童的妈妈和儿童告别，要求妈妈对儿童说：“XX，拜拜。”并向后退，观察儿童的反应。","","0-6月","是","通过","盯着妈妈的脸，双手臂上下摆动，嘴巴微动","中间反应","眼睛盯着妈妈的脸，没有任何表情","不通过","没有任何反应"
"34","社会交往","近距离的告别","妈妈离开时，儿童盯着妈妈哭并双手臂前伸","测试员让儿童的妈妈和儿童告别，要求妈妈对儿童说：“XX，拜拜。”并向后退，观察儿童的反应。","","6-12月","是","通过","盯着妈妈的脸，双手臂向前伸，随着妈妈向后退的距离加大，儿童表情明显变化，哭起来","中间反应","眼睛盯着妈妈的脸，没有任何表情","不通过","没有任何反应"
"35","社会交往","近距离的告别","妈妈离开时，儿童迈步追，并向前伸开手臂","测试员让儿童的妈妈和儿童告别，要求妈妈对儿童说：“XX，拜拜。”并向后退，观察儿童的反应。","","12-18月","是","通过","盯着妈妈的脸，双手臂向前伸，向前迈步，随着妈妈向后退的距离加大，儿童表情明显变化，哭起来","中间反应","眼睛盯着妈妈的脸，没有任何表情","不通过","没有任何反应"
"36","社会交往","近距离的告别","妈妈离开时，儿童迈步追并抱住妈妈的腿","测试员让儿童的妈妈和儿童告别，要求妈妈对儿童说：“XX，拜拜。”并向后退，观察儿童的反应。","","18-24月","是","通过","看着妈妈向后退，马上向前迈步，直到抱住妈妈的腿。妈妈抱一下儿童后离开，儿童表情明显变化，哭起来","中间反应","眼睛盯着妈妈的脸，没有任何表情","不通过","没有任何反应"
"37","社会交往","近距离的告别","妈妈离开时，儿童亲妈妈的脸表达再见","测试员让儿童的妈妈和儿童告别，要求妈妈对儿童说：“XX，拜拜。”并向后退，观察儿童的反应。","","24-36月","是","通过","看着妈妈向后退，马上向前跑，直到抱住妈妈的腿，妈妈蹲下来，亲亲妈妈的脸，表示拜拜","中间反应","眼睛盯着妈妈的脸，并要妈妈一直抱","不通过","没有任何反应"
"38","社会交往","近距离的告别","妈妈离开时，说“拜拜”但表情显出不愿意","测试员让儿童的妈妈和儿童告别，要求妈妈对儿童说：“XX，拜拜。”并向后退，观察儿童的反应。","","36-48月","是","通过","回应妈妈：“拜拜”，脸上显露出不想让妈妈走的表情，但不会阻止妈妈走","中间反应","眼睛盯着妈妈的脸，并要妈妈一直抱","不通过","没有任何反应"
"39","社会交往","近距离的告别","妈妈离开时，说“拜拜”并挥手","测试员让儿童的妈妈和儿童告别，要求妈妈对儿童说：“XX，拜拜。”并向后退，观察儿童的反应。","","48-60月","是","通过","回应妈妈：“拜拜”，并挥手","中间反应","眼睛盯着妈妈的脸，抱住妈妈","不通过","没有任何反应"
"40","社会交往","近距离的告别","妈妈离开时，说“拜拜”并挥手，但对妈妈提出某些要求","测试员让儿童的妈妈和儿童告别，要求妈妈对儿童说：“XX，拜拜。”并向后退，观察儿童的反应。","","60-72月","是","通过","回应妈妈：“拜拜”，愿意让妈妈走，同时提出要求：“早点过来”或“给我买------”","中间反应","眼睛盯着妈妈的脸，抱住妈妈","不通过","没有任何反应"
"41","社会交往","电话告别","用“妈妈，再见”回应妈妈的告别","测试员让儿童的妈妈和儿童在电话中告别，要求妈妈对儿童说：“XX，再见。”，观察儿童的反应。","","24-36月","是","通过","回应妈妈：“妈妈，再见”，","中间反应","手拿着电话不说话，并看着电话","不通过","没有任何反应"
"42","社会交往","用“妈妈，再见”，并有亲电话（代替亲妈妈）表示告别","电话或手机","测试员让儿童的妈妈和儿童在电话中告别，要求妈妈对儿童说：“XX，再见。”观察儿童的反应。","","36-48月","是","通过","回应妈妈：“妈妈，再见”，甚至亲一下电话","中间反应","手拿着电话不说话，并看着电话","不通过","没有任何反应"
"43","社会交往","用“妈妈，再见”，并有亲电话（代替亲妈妈）表示告别","用“妈妈，再见”告别的同时表达想念“想你”","测试员让儿童的妈妈和儿童在电话中告别，要求妈妈对儿童说：“XX，再见。”观察儿童的反应。","","48-60月","是","通过","回应妈妈：“妈妈，再见”；或“再见，妈妈，我想你”","中间反应","手拿着电话不说话，并看着电话","不通过","没有任何反应"
"44","社会交往","表示感谢","拿到别人给的东西，双手作揖表示感谢","测试员将小食品或玩具送给儿童，并对儿童说：“这个，给你”，观察儿童的反应。","小食品或玩具","18-24月","是","通过","在照顾者的指示下，双手作揖，表示谢谢","中间反应","拿到食品或玩具，要求打开或玩","不通过","没有任何反应"
"45","社会交往","表示感谢","拿到别人给的东西说“谢谢叔叔----”","测试员将小食品或玩具送给儿童，并对儿童说：“这个，给你”，观察儿童的反应。","小食品或玩具","24-36月","是","通过","对测试员说：“谢谢叔叔”或“谢谢阿姨”","中间反应","拿到食品或玩具，要求打开吃或玩","不通过","没有任何反应"
"46","社会交往","表示抱歉","弄坏别人的东西，会说“对不起”","测试员将折好的纸青蛙小心翼翼地放在儿童面前，对儿童说：“这个青蛙，给你玩”，儿童一拿，纸青蛙坏了，观察儿童的反应。","折好的纸青蛙（纸很薄，容易破）","36-48月","是","通过","表现出紧张的神色，眼睛盯着青蛙片刻后，对测试员说：“对不起”","中间反应","拿起坏的青蛙开始扔","不通过","没有任何反应"
"47","社会交往","表示称赞","当别人做事做的好时，口头称赞别人或通过动作称赞别人","测试员将白纸和笔给儿童让儿童画画，测试员要先观察儿童画的是什么，然后测试员画和儿童画一样的事物，并且一定要比儿童画的更好。画好后，和儿童的画比较，观察儿童的反应。","白纸和画笔","36-48月","是","通过","看完画后，称赞测试员画的画好，会使用口头语言称赞说：“你真棒”或者“你真行”或“叔叔/阿姨画的好”或“你画的好看”；或者儿童使用动作称赞，如：竖起大拇指、鼓掌等","中间反应","看自己的画和测试员的画后，在自己的画上面继续画","不通过","自己一直在乱画，不看测试员的画；或者对测试员要求画画的指令没有任何反应，仍然做自己的事情 36-48 ▲——代表观察或直接评估项目 项目号前面没有任何标注的为直接评估项目"
"1","生活自理","进食吸吮","吸吮奶瓶内的液体","儿童舒适的斜靠着评估员或家长的手臂，评估员或家长用奶嘴轻碰儿童的嘴角，然后慢慢放入儿童口中，观察儿童的吸吮情况。","婴儿日常用的奶瓶","0-6月","是","通过","双唇能紧贴奶嘴吸吮（注：当奶嘴碰到嘴角时，儿童的头会转向奶嘴，这是正常反射）","中间反应","只把奶嘴含在嘴里，无其它反应","不通过","没有任何反应"
"2","生活自理","合唇","吃汤匙里的食物","用勺子将糊状食物喂给儿童，观察其合唇表现。","儿童喂食的汤匙、糊状食物","0-6月","是","通过","能合唇吃取汤匙里的食物入口内","中间反应","有合唇倾向，但整个过程不连贯","不通过","无合唇表现"
"3","生活自理","喝","喝汤匙里的水或饮料","用汤匙将水或饮料喂给儿童，观察儿童的表现。","汤匙、水或儿童喜爱的饮料","6-12月","是","通过","主动张开口待饮料喂进口中，并能合唇喝进，可容许少量漏泄","中间反应","示范后能张开口待饮料喂进口中，有合唇倾向，撒漏的饮料较多","不通过","示范后仍无任何反应"
"4","生活自理","喝","用吸管喝饮料","放吸管在半杯饮料内，让儿童用吸管吸饮，观察儿童用吸管的表现。","吸管、半杯饮料、杯子","12-24月","是","通过","合唇固定而非咬着吸管吸饮，并能吞下在口中的饮料","中间反应","提示或示范后能能够合唇固定吸管吸饮料，且能吞下饮料","不通过","提示或示范后，仍咬住吸管无吸的表现或无任何反应"
"5","生活自理","喝","自己用杯子喝水","将杯子放在儿童的面前，让儿童喝下饮料，观察儿童的表现。","半杯饮料、杯子","24-36月","是","通过","拿起杯子，一口一口的喝，喝完将杯子放下，过程中没有洒掉饮料","中间反应","示范后才能完成该过程，过程中有少许饮料洒掉","不通过","示范后仍不能完成该过程"
"6","生活自理","喝","咀嚼","软的固体食物（如面包、香蕉或肉等，长条状，体积约4cm×0.75cm×0.75cm） 儿童自己吃或将食物放在儿童面前或放入儿童口中，观察儿童在吃的时候的表现。","咀嚼软的固体食物","16-21月","是","通过","用门牙或大牙咬断食物；颚部上下左右回旋转动咀嚼食物","中间反应","仅能咬断食物或颚部有勉强的咀嚼动作","不通过","只把食物含在嘴里，无咀嚼表现"
"7","生活自理","咀嚼硬的固体食物","硬的固体食物（如水果、鸡肉、菜茎等，体积约1cm×1cm×1cm）","","同上","16-21月","是","通过","用大牙以回旋转动的动作咀嚼硬的固体食物","中间反应","有勉强的回旋转动的咀嚼动作，但不是很明显","不通过","只把食物含在嘴里，无咀嚼表现"
"8","生活自理","取食方式用手指把食物放进口中","饼干（面积约4cm×4cm）","","给儿童一块饼干吃，观察儿童的表现。","12-24月","是","通过","用手指拿住饼干并放进口中或拿住饼干持续咬数口","中间反应","帮助下能够用手拿住饼干，放进口中或持续咬数口","不通过","帮助下仍不能拿住饼干送入口中"
"9","生活自理","取食方式用手指把食物放进口中","用汤匙进食","让儿童用汤匙吃碗中的食物，观察儿童用汤匙进食的表现。","汤匙、饭或儿童喜爱的食物半碗、碗","25-30月","是","通过","自己用汤匙从碗中舀取食物放进口中，再将空汤匙放回碗内，至少完成来回3次而没有洒掉食物","中间反应","至少来回完成1次而没有洒掉食物或示范后能够完成3次","不通过","示范后仍未完成"
"10","生活自理","取食方式用手指把食物放进口中","用叉子取食物","将叉子及1碟食物递给儿童，让儿童进食，观察儿童的表现。","叉子、固体食物至少4件（如香肠、菠萝或水果块）","24-36月","是","通过","用叉子从碟子上取食物，并能适当的将食物放入口中（儿童可用不同的方法握叉子，可记录儿童抓握的方法）","中间反应","示范后能用叉子从碟子上取食物，并将食物放入口中","不通过","示范后仍不能完成"
"11","生活自理","取食方式用手指把食物放进口中","把食物扒入口中","将饭及筷子交给儿童，让儿童进食，观察儿童用筷子扒食物入口的表现。","一双筷子、碗（碗内有半碗饭或儿童喜爱的食物）","36-48月","是","通过","用筷子扒食物入口而只洒出少许","中间反应","示范后能够用筷子把食物扒入口中","不通过","示范后仍不能完成"
"12","生活自理","取食方式用手指把食物放进口中","用刀切软的食物","评估员先示范用刀切食物，然后将刀及食物交给儿童，让儿童切（至少尝试两种不同的食物），观察儿童的表现。","一把刀、食物，如：香蕉、香肠、条状软面包等","36-48月","是","通过","将食物切开，至少一分为二","中间反应","示范后能够将食物切开","不通过","示范后仍不能完成"
"13","生活自理","取食方式用手指把食物放进口中","将饮料从小水壶里倒出来","让儿童将饮料从水壶倒进杯子里，观察儿童的表现。","小水壶、杯子、半壶饮料","48-60月","是","通过","将饮料倒进杯子里而没有弄湿","中间反应","勉强将饮料倒进杯子，洒出一些；或示范后能将饮料倒进杯子","不通过","示范后仍不能完成"
"14","生活自理","取食方式用手指把食物放进口中","用筷子夹食物","将一碟菜及筷子交给儿童，让儿童进食，观察儿童的表现。","一双筷子、一碟食物（菜茎、肉片或日常蔬菜）","48-60月","是","通过","用筷子夹起不同形状及大小的食物，并放入口中","中间反应","示范后能够夹起食物，勉强放入口中","不通过","示范后仍不能成功"
"15","生活自理","取食方式用手指把食物放进口中","撕开食物的包装袋","评估员示范将食物包装撕开，然后将食物2包递给儿童，让儿童撕开，观察儿童的表现。","密封包装的食物3包","48-60月","是","通过","将食物包装袋开启，完成2包","中间反应","完成1包或示范后能尝试完成2包或有撕的意识，但因为包装袋比较难撕开，最终没有完成","不通过","示范后仍不能完成或没有撕的意识"
"16","生活自理","如厕表示如厕需要","如厕前以手势、沟通图或声音表示如厕需要","观察儿童在日常生活中的表现。","","12-24月","是","通过","以手势、沟通图或声音表示如厕需要","中间反应","帮助或提示下能够用手势、沟通图或声音表示","不通过","不会表示需要"
"17","生活自理","如厕表示如厕需要","主动说出如厕的需要","","同上","24-36月","是","通过","主动说出（不包括手势、沟通图或声音）如厕的需要","中间反应","借助于手势、沟通图或声音来表示如厕的需要","不通过","不会表示需要"
"18","生活自理","如厕表示如厕需要","主动到厕所里排尿、排便","","同上","36-48月","是","通过","有如厕需要时，主动到厕所里排尿、排便","中间反应","有如厕需要时，主动说出如厕需要，在成人的指导或示范后才知道去厕所解决","不通过","借助于手势、沟通图或声音来表示如厕的需要，不清楚必须到厕所里排尿、排便"
"19","生活自理","如厕技能坐便盆如厕","儿童便盆","当儿童有如厕（大、小便）需要时，让儿童坐在便盆上完成如厕过程，观察儿童的表现。","","16-18月","是","通过","坐在便盆上完成大小便的过程","中间反应","成人示范如何坐在便盆上后，儿童能坐在便盆上，完成大小便","不通过","帮助下才能完成"
"20","生活自理","如厕前自己拉下裤子及内裤（橡皮筋裤或扣子以解开）","儿童日常所穿的裤子及内裤","如厕前，让儿童自己拉下裤子及内裤，观察儿童的表现。","","24-30月","是","通过","在如厕前自己拉下裤子及内裤","中间反应","示范后能够拉下裤子及内裤或仅能拉下裤子或如厕前自己有拉下裤子的意识及动作","不通过","帮助下才能完成"
"21","生活自理","如厕前自己拉下裤子及内裤（橡皮筋裤或扣子以解开）","如厕后自己拉上裤子及内裤","如厕后，让儿童自己拉上裤子及内裤，观察儿童的表现。","同上","30-36月","是","通过","如厕后自己拉上裤子及内裤","中间反应","示范后才能自己拉上裤子及内裤或仅能拉上内裤或有拉上裤子及内裤的意识及粗略动作","不通过","成人帮助下才能完成"
"22","生活自理","如厕后自己洗手","厕所内设的洗手盆","让儿童在如厕后自己洗手，完成洗手的过程（即开、关水龙头及冲洗双手），洗手盆及水龙头的高度应为儿童所及范围，观察儿童的表现（可提示儿童往洗手盆洗手）。","","24-36月","是","通过","粗略的完成洗手的过程","中间反应","示范后能够粗略的完成洗手过程","不通过","帮助下才能完成"
"23","生活自理","分辨男女厕所的符号","有男女符号的厕所","让儿童在厕所外观察，分辨男女厕所，并进入合适的厕所，观察儿童的表现。","","36-48月","是","通过","自行按符号分辨男女厕所，并选择适合自己的厕所","中间反应","提示后才能分辨男女厕所，或示范后才选择适合自己的厕所","不通过","提示并示范后仍未完成"
"24","生活自理","分辨男女厕所的符号","大便后，撕下所需的卷装厕纸，折叠好，准备清洁","让儿童在伸手可及的范围内撕下厕纸，折叠好，观察儿童的表现。","卷装厕纸","60-72月","是","通过","自己撕下卷装厕纸并折叠好准备清洁","中间反应","示范后才能够自己撕下及折叠好卷装厕纸","不通过","示范后仍不能完成"
"25","生活自理","分辨男女厕所的符号","大便后用厕纸清洁干净","让儿童在大便后用厕纸进行清洁，观察儿童的表现（可提供已折好的厕纸）。","已折叠的厕纸","","是","通过","用厕纸向后揩抹干净","中间反应","示范后能够向后揩抹干净","不通过","需要成人帮助才能完成"
"26","生活自理","穿衣脱","将脱到脚掌部的袜子完全脱掉","协助儿童拉脱袜子过脚踝，让儿童自己拉脱下袜子。","一对袜子","12-24月","是","通过","拉脱袜子，完成一对","中间反应","示范后能够完成一对或自己完成一只","不通过","示范后仍未完成"
"27","生活自理","穿衣脱","推脱鞋子","让儿童脱去穿在脚上的鞋（儿童可坐着），观察儿童的表现。","一双鞋子（鞋的鞋带或扣子已解开）","24-36月","是","通过","自己用手握住鞋底将鞋推脱，完成一双","中间反应","示范后能够完成一双或自己完成一只","不通过","示范后仍未完成"
"28","生活自理","穿衣脱","脱拉袜子","让儿童自己脱去穿在脚上的袜子（儿童可坐着），观察其表现。","一对袜子","24-36月","是","通过","用拇指插入袜子口将袜子推脱或用手拿住袜子头，将袜子拉掉","中间反应","示范后能够将袜子拉掉","不通过","示范后仍未完成"
"29","生活自理","穿衣脱","脱下长裤","让儿童自己脱下裤子，观察其表现。","一条长裤（有松紧带的裤子或扣子已解开）","24-36月","是","通过","自己用手或用拇指插进裤腰处推或拉下长裤并将裤子穿过脚部脱下","中间反应","示范后能够将裤子脱下","不通过","示范后仍未完成"
"30","生活自理","脱外套或衬衫","长袖开胸外套或衬衫1件（扣子已解开）","让儿童脱下穿在身上的外套，观察儿童的表现。","","24-36月","是","通过","自己用双手抓握着两边的衣襟，然后向后翻，双手向后伸，一手抓着另一边的袖口向下拉，先脱一只袖子，再脱另一只袖子（若儿童只抖动双手使袖子脱下，属未能完成任务）","中间反应","示范后儿童尝试能够完成任务","不通过","示范后仍未完成"
"31","生活自理","脱外套或衬衫","拉开拉链","让儿童将已拉合的拉链拉开，观察儿童的表现。","有拉链的开胸衣服","24-36月","是","通过","将已拉合的拉链从头到尾完全拉开，并将拉链分为两边","中间反应","示范后能够拉开拉链并将拉链分为两边","不通过","示范后仍不能完成"
"32","生活自理","脱外套或衬衫","解开大纽扣","让儿童将自己前胸已扣好的2粒或2粒以上的大纽扣解开，观察儿童的表现。","同上","36-48月","是","通过","解开身上衣服衣服至少2粒大纽扣（只需完成衣服上的第一和第二粒纽扣","中间反应","解开衣服上的至少1粒大纽扣或示范后能够解开2粒大纽扣","不通过","示范后仍不会解开大纽扣"
"33","生活自理","脱T-恤","T-恤一件","让儿童脱下穿在身上的T-恤，观察儿童的表现。","","48-60月","是","通过","自己双手交叉抓住衫脚两旁向上拉至脖子，然后再拉过头（或先将一只手向下缩，脱去袖子，然后再拖另一只袖子）（注：儿童若用手抓住衫领将衬衫脱下，也算完成任务）","中间反应","示范后儿童尝试完成任务","不通过","示范后仍未完成"
"34","生活自理","穿","穿鞋子","让儿童穿上已解松的鞋子，观察儿童的表现。","一双鞋子（鞋带已解开或无鞋带）","36-48月","是","通过","用手将鞋套在脚上，并能将鞋套过脚底（或会用手指插入鞋底然后提上），完成一双","中间反应","示范后能够将鞋穿上","不通过","示范后尝试完成，但未成功"
"35","生活自理","穿","穿长裤","将一条前后面正确放好的裤子递给儿童，让儿童穿上，观察儿童的表现（可坐着）。","一条长裤（有松紧带的裤子或扣子已解开）","36-48月","是","通过","用双手的拇指及食指提着裤腰的两边，将两条腿先后穿入左右裤腿，然后将裤腰处拉至腰部","中间反应","示范后能够穿上裤子或穿反但基本顺序正确，能够穿上","不通过","示范后仍未完成"
"36","生活自理","穿外套或衬衫","长袖外套或衬衫","将外套递给儿童，让儿童穿上（衬面向外、前胸面向儿童、衫领向上），观察儿童的表现。","","36-48月","是","通过","一手执一边衣襟或衣领，另一只手穿入同一边的袖子，然后再穿另一边，把外套或衬衫穿好","中间反应","示范后能够完成或穿反但基本顺序正确，能够穿上","不通过","示范后仍未完成"
"37","生活自理","穿外套或衬衫","扣合大纽扣","让儿童将自己前胸已解开的2粒或2粒以上的大纽扣扣合，观察儿童的表现。","开胸的衣服（纽扣直径约2cm或0.75寸）","36-48月","是","通过","扣合身上的衣物，至少2粒大纽扣（只需完成衣服上的第一和第二粒纽扣）","中间反应","扣合至少1粒大纽扣或示范下能够扣合2粒大纽扣","不通过","示范后仍不会扣合纽扣"
"38","生活自理","穿T-恤","T-恤一件","将T-恤递给儿童，让儿童穿上（T-恤前胸面向外，后面向儿童，衫领向上）。","","48-60月","是","通过","将衫领套过头，然后逐一穿袖子；或先穿上衫袖，再将衫领套过头，并用手将T-恤拉好","中间反应","示范后能够尝试穿上衣服或穿反但能够穿上","不通过","示范后仍不能完成"
"39","生活自理","穿T-恤","穿有脚后跟的袜子","将袜子递给儿童，让儿童穿上，观察儿童的表现。","有脚后跟的袜子一双","","是","通过","穿上袜子并能正确地将袜底移到脚后跟位置，完成一双","中间反应","自己穿上一只袜子或示范后能够完成一双或穿反但能够完成","不通过","示范后仍未完成"
"40","生活自理","穿T-恤","拉合拉链","让儿童将已拉开的拉链拉合，观察儿童的表现。","同上","48-60月","是","通过","扣上拉链尾端，并将拉链从头到尾完全拉合","中间反应","示范后能够口上拉链尾端，并将拉链完全拉开","不通过","示范后仍不能完成"
"41","生活自理","梳洗擦","用毛巾擦嘴","让儿童用毛巾擦嘴，清洁嘴部，观察儿童的表现。","湿毛巾一条","12-24月","是","通过","自己把毛巾放在嘴上，并左右或在嘴的四周擦","中间反应","示范后能够完成","不通过","示范后仍未完成"
"42","生活自理","梳洗擦","用毛巾擦手","洗手后或吃饭后，将毛巾递给儿童自己擦手，观察儿童的表现。","毛巾一条","12-24月","是","通过","自己用毛巾擦抹双手","中间反应","示范后儿童能够用毛巾擦抹双手","不通过","示范后仍不能完成"
"43","生活自理","梳洗擦","洗手会擦干","让儿童自己洗手，洗完后把毛巾递给儿童，让儿童把手擦干，观察儿童的表现。","清水、毛巾","24-36月","是","通过","双手互相粗略的搓擦几下，洗完后用毛巾擦干双手，","中间反应","粗略的洗手后，用毛巾简单的擦几下；或示范后用毛巾擦干双手","不通过","示范后仍在帮助下才能擦干双手"
"44","生活自理","梳洗擦","用毛巾仔细擦脸","给儿童一条湿毛巾，并让儿童自己擦脸，提到要擦的脸的各部分，观察儿童的表现。","已拧干的湿毛巾一条","48-60月","是","通过","自己用毛巾擦面颊、额头、眼睛、鼻子、嘴和脖子","中间反应","自己用毛巾擦脸的部分地方；或粗略的擦脸；或示范后能够仔细的擦脸","不通过","示范后仍不能完成"
"45","生活自理","刷用牙刷粗略的刷牙","牙刷一把、清水","将牙刷弄湿，递给儿童，让儿童自己刷牙，观察儿童的表现。","","24-36月","是","通过","将牙刷放入口中，粗略的用牙刷刷牙，尝试洗刷口腔内不同部位","中间反应","示范后能够粗略的刷牙并洗刷口腔内不同部位","不通过","示范后仍无顺序及规律的刷牙"
"46","生活自理","刷用牙刷粗略的刷牙","用清水漱口","刷牙后，将已盛水的漱口杯子递给儿童，让儿童漱口，观察儿童的表现（结合刷牙项目）。","儿童使用漱口的杯子、清水","24-36月","是","通过","用漱口杯内的水漱口，并将水吐出","中间反应","示范后能够用杯内水漱口并将水吐出","不通过","示范后仍未完成"
"47","生活自理","用挤有牙膏的牙刷刷牙","牙刷一把、牙膏","将挤有牙膏的牙刷递给儿童，让儿童自己刷牙，观察儿童的表现。","","48-60月","是","通过","用挤有牙膏的牙刷刷牙，接受牙膏味道及刷牙时产生的泡沫，并适当的将泡吐出","中间反应","示范后能够用牙刷刷牙，并将泡沫吐出","不通过","示范后仍不会刷牙及将泡沫吐出"
"48","生活自理","洗用肥皂洗手","肥皂、清水","让儿童用肥皂或皂液洗手，观察儿童的表现。","","36-48月","是","通过","自己拿起肥皂，双手互相搓擦出泡沫，然后用清水洗净","中间反应","提示下或示范后能够自己拿起肥皂，擦出泡沫及用清水洗净","不通过","示范后仍不能完成"
"49","生活自理","洗用肥皂洗手","扭干湿毛巾","让儿童将湿透的毛巾扭干，观察儿童的表现。","湿毛巾一条","48-60月","是","通过","用手将湿毛巾大致扭干","中间反应","示范后能够用手将湿毛巾大致扭干","不通过","示范后仍不会"
"50","生活自理","洗用肥皂洗手","洗毛巾","给儿童一条毛巾，让儿童清洗，观察儿童的表现。","儿童用的毛巾一条、肥皂一块、清水","48-60月","是","通过","把毛巾浸湿，把肥皂均匀的涂抹在毛巾的表面，两手能够有规律的搓洗，然后把毛巾放到水里冲洗，大体能够完成洗毛巾的过程","中间反应","讲解或示范后能够完成；或粗略的完成大体步骤","不通过","讲解或示范后仍不会洗"
"51","生活自理","洗脸","清水","让儿童自己洗脸，观察儿童的表现。","","48-60月","是","通过","能够用双手把水扑到面部，并用双手轻轻地有规律的搓面部及具体部位","中间反应","把水扑到面部，粗略的无规律或很用力的洗脸；或在成人协助下及提示或示范后能够完成","不通过","协助或提示或示范后仍不能完成"
"52","生活自理","洗脸","自己洗澡","预备洗澡用品，让儿童自己洗澡，观察儿童的表现；或询问家长及儿童的照顾者。","浴缸或澡盆或淋浴、肥皂、水、毛巾","60-72月","是","通过","自己粗略的用肥皂擦身体，用水冲洗身体及有肥皂沫处，然后用毛巾摸干身体","中间反应","示范后能够粗略的完成","不通过","成人的帮助下才能完成"
"53","生活自理","梳头发","自己用梳子将头发梳理整齐","儿童自己拿起已预备好的梳子梳理头发，观察儿童的表现。","容易抓握的梳子一把、一面镜子","60-72月","是","通过","自己拿起梳子梳理头发的各部分，并按镜子中所看到的不整齐部分加以梳理","中间反应","自己拿起梳子粗略的梳理头发，并在提示下照镜子中所看到的部整体部分加以梳理；或在示范后能够完成","不通过","示范后仍未完成"
"54","生活自理","睡眠睡觉规律","按时睡，按时醒，醒后不吵闹。","","","16-18月","是","通过","能够按时入睡和觉醒，醒来后不吵闹","中间反应","醒来后不吵闹，但不能按时睡、按时醒；能够按时睡、按时醒，但醒来后吵闹","不通过","不能按时睡、按时醒，醒来后吵闹"
"55","生活自理","安静入睡","儿童能够安静入睡。","","","18-24月","是","通过","能够安静入睡","中间反应","需要父母或照顾者哄才能入睡","不通过","不管用什么方法也不能入睡"
"56","生活自理","睡觉安稳","睡觉比较安稳，夜里不会出现经常性的惊厥或通宵不眠。","","","21-24月","是","通过","整夜睡觉安稳","中间反应","夜里有少许的惊厥或会醒来几次","不通过","经常性的惊厥或通宵不眠"
