"排序","分组","领域","评估项目","操作描述","所需材料","适用年龄","是否必答","评分说明_1_达标","评分说明_0.5_部分达标","评分说明_0_未达标"
"134","Level 3 (30-48月)","Intraverbal(对话)","Intraverbal 14","能够用 8 个以上的字来描绘 25 个不同的事件、视频、故事等（如：“告诉我发生了什么？”，“大家都被大妖怪吓坏了，全部逃进屋子里了”）","","30-48月","是","能够用 8 个以上的字来描绘 25 个不同的事件、视频、故事等（如：“告诉我发生了什么？”，“大家都被大妖怪吓坏了，全部逃进屋子里了”）","(14-a) 回答 25 个不同的包含 3 个或以上元素的谁，什么，或哪里的问题（如：消防车是什么颜色？）; (14-b) 对 25 个类别每个至少说出 3 个成员物品（如：你在操场上找到了什么？）; (14-c) 关于日常事件或时事回答 5 个问题（如：你和爸爸去哪？）; (14-d) 在一天中对同伴的语言问题或表述做出至少 25 次的对话反应; (14-e) 通过对以 3 种不同的形式呈现的 10 个问题每个给出同样的回答表现出泛化（如：以我的家来回答你住哪里？你的狗住哪里？和你在哪里玩？）; (14-f) 关于单一物品说 3 件事，共 25 个物品（如：这是蜡笔、它是红色的、你画画要用它）; (14-g) 说出个人信息的 3 个方面（如：你住在哪里？你哥哥叫什么名字？）; (14-h) 回答 25 个包含有介词的对话问题（如：你的床下有什么？）; (14-i) 回答 25 个包含有代词的对话问题（如：谁有棕色的狗？）; (14-j) 对 25 个顺序问题提供答案（如：你到学校后干什么？）; (14-k) 能回答 10 个什么的问题（如：你什么时候洗澡？）","以上行为均未观察到"
"135","Level 3 (30-48月)","Intraverbal(对话)","Intraverbal 15","能就 10 个主题的每一个主题回答 4 个不同而依序的特殊疑问句（如：谁带你去学校？你上哪个学校？你上学带什么东西？）","","30-48月","是","能就 10 个主题的每一个主题回答 4 个不同而依序的特殊疑问句（如：谁带你去学校？你上哪个学校？你上学带什么东西？）","(15-a) 回答 10 个关于社区服务人员的问题（如：医生干什么？）; (15-b) 回答 25 个不同的包含有 4 或以上语言部分的问题（如：你用什么工具来剪指甲？）; (15-c) 轮流对由他人开头的故事增加内容（如：然后他看见了一条船……）; (15-d) 回答 5 个不同的如何额问题（如：你怎么修这个洞？）; (15-e) 当被问到时能回答自己的姓（如：哈里森）; (15-f) 回答 25 个包含有副词的对话问题（如：什么动物走得慢？）; (15-g) 通过 3 种不同的方式描述同样的 10 个物品，事件，偏好物，人物等来表现出反应的泛化（如：关于偏好物狗托比，孩子能在不同的时候说小狗，动物，托比）; (15-h) 描述 5 件发生在过去的事件; (15-i) 描述 5 件在未来将要发生的事件; (15-j) 用至少 10 个词语概述 5 个不同的故事; (15-k) 一个问题出现时能提出一个合理的解决方案","以上行为均未观察到"
"136","Level 2 (18-30月)","Group(集体技能)","Group 6","能在集体吃点心或午饭时坐在桌边 3 分钟而没有不良行为","","18-30月","是","能在集体吃点心或午饭时坐在桌边 3 分钟而没有不良行为","(6-a) 适应与父母的分离（如：当父母离开时不哭）; (6-b) 在形体辅助下坐在餐点桌或午餐桌前 1 分钟; (6-c) 在形体辅助下与其他孩子一起排队; (6-d) 表现出对教室内所有老师助理的一般配合","以上行为均未观察到"
"137","Level 2 (18-30月)","Group(集体技能)","Group 7","只用一个口头辅助，就能够放好个人物品、排队或会走到桌子边上来","","18-30月","是","只用一个口头辅助，就能够放好个人物品、排队或会走到桌子边上来","(7-a) 当同伴在他旁边坐下时没有试图离开; (7-b) 在手势和语言辅助下把自己的个人物品放在规定的地方（如：外套、背包、午餐盒）; (7-c) 仅在语言辅助下就能够走到桌前与其他儿童坐在一起; (7-d) 在形体辅助下配合洗手; (7-e) 当同伴坐在他身边时不会对同伴做出不良行为","以上行为均未观察到"
"138","Level 2 (18-30月)","Group(集体技能)","Group 8","仅需要一次手势或语言辅助就能从一种教室活动过渡到另一种教室活动","","18-30月","是","仅需要一次手势或语言辅助就能从一种教室活动过渡到另一种教室活动","(8-a) 仅在语言辅助下就走到圆形小组中坐下; (8-b) 仅在语言辅助下就能走到桌旁或工作站旁坐下; (8-c) 坐在桌旁等待时，不触摸材料，直到得到允许才这样做; (8-d) 能坐在圆形小组中 2 分钟没有破坏行为或在辅助下保持坐好","以上行为均未观察到"
"139","Level 2 (18-30月)","Group(集体技能)","Group 9","能够在小组里坐下并达 5 分钟而没有扰乱行为或企图离开小组","","18-30月","是","能够在小组里坐下并达 5 分钟而没有扰乱行为或企图离开小组","(9-a) 仅在语言辅助下休息后进教室; (9-b) 仅在语言辅助下参与集体运动和唱歌活动（如：围着玫瑰转啊转、鸭子-鸭子 鹅、冰淇淋之歌）; (9-c) 模仿使用物品的集体活动（如：将小棒放一起、摇沙锤）; (9-d) 仅在语言辅助下在集体中唱歌（如：头、肩膀、膝盖和脚趾）","以上行为均未观察到"
"140","Level 2 (18-30月)","Group(集体技能)","Group 10","能够在小组里坐达 10 分钟，有 50%的时间能注意老师和材料、并能对老师的 5 个指令做出反应","","18-30月","是","能够在小组里坐达 10 分钟，有 50%的时间能注意老师和材料、并能对老师的 5 个指令做出反应","(10-a) 仅在语言辅助下，能将托盘或碟子放到水槽里并将垃圾放到垃圾桶里; (10-b) 仅在语言辅助下取午餐; (10-c) 在进教室时在集体指令下将背包、午餐盒或外套放到指定位置; (10-d) 独立地拿出并打开大多数餐点/午餐物品; (10-e) 在 5 分钟的上课时间里在一个小组环境里做出语言反应 2 次; (10-f) 在 5 分钟的上课时间里在小组环境中模仿同伴唱歌或活动 2 次; (10-g) 在辅助下会坐在马桶上没有不良行为，但可能不排便","以上行为均未观察到"
"141","Level 3 (30-48月)","Group(集体技能)","Group 11","仅在语言辅助下就能使用厕所并洗手","","30-48月","是","仅在语言辅助下就能使用厕所并洗手","(11-a) 坐在或站在美工或活动桌前 5 分钟而没有破坏性行为; (11-b) 没有额外的辅助对 1 个集体指令作出反应（如：大家都站起来）; (11-c) 没有辅助或强化在一个任务或活动中独立地工作 1 分钟; (11-d) 在 1 个语言辅助下走到小组前方","以上行为均未观察到"
"142","Level 3 (30-48月)","Group(集体技能)","Group 12","能在 3 个或更多孩子的小组中对 5 个不同的集体指令或问题做出反应，而不需要直接的辅助（如：全体起立，谁穿了红色的T 恤？）","","30-48月","是","能在 3 个或更多孩子的小组中对 5 个不同的集体指令或问题做出反应，而不需要直接的辅助（如：全体起立，谁穿了红色的T 恤？）","(12-a) 在集体环境中通过举手而轮流发言（如：谁想挑首歌？）; (12-b) 按设计使用教室材料（如：胶水、剪刀、蜡笔、纸张）; (12-c) 当听到辅助后能将玩具和材料放好; (12-d) 在美工活动中当大人离开桌子时维持任务 1 分钟","以上行为均未观察到"
"143","Level 3 (30-48月)","Group(集体技能)","Group 13","能够在集体中独立工作 5 分钟，并能在全过程 50%的时间内做规定的任务","","30-48月","是","能够在集体中独立工作 5 分钟，并能在全过程 50%的时间内做规定的任务","(13-a) 在语言辅助下能获得必需的材料以完成一个活动（如：拿一些胶水）; (13-b) 仅在对集体的语言辅助下能在教室活动间独立转换; (13-c) 没有直接的辅助而对集体问题作出反应（如：辛巴发生了什么事？）; (13-d) 要求使用卫生间，极少有大小便拉在身上","以上行为均未观察到"
"144","Level 3 (30-48月)","Group(集体技能)","Group 14","能在一个为时 15 分钟的包括 5 个或更多孩子的集体教学课中学会 2 个新的行为","","30-48月","是","能在一个为时 15 分钟的包括 5 个或更多孩子的集体教学课中学会 2 个新的行为","(14-a) 与同伴轮流和分享物品; (14-b) 辨别并执行两个成分的集体指令（如：所有的男生排队）; (14-c) 在教室里遵循安全规则（如：不能跑、不能推）; (14-d) 带领 2 个不同的集体活动，至少包括其他的 3 个孩子（如：红灯、绿灯游戏）; (14-e) 在集体环境里要求一个特定的活动（如：让我们玩抓人的游戏！）; (14-f) 仅在 1 个语言辅助下能协助活动后收拾","以上行为均未观察到"
"145","Level 3 (30-48月)","Group(集体技能)","Group 15","能坐在包括 5 个孩子的小组中上课达 20 分钟而没有破坏性行为，并且回答 5 个对话性问题","","30-48月","是","能坐在包括 5 个孩子的小组中上课达 20 分钟而没有破坏性行为，并且回答 5 个对话性问题","(15-a) 在室内尽管有干扰，仍能关注任务; (15-b) 没有辅助能满足他自己的一些自我照顾的需要（如：擦鼻子、穿外套）; (15-c) 在桌面集体活动中与同伴语言互动 3 次; (15-d) 没有辅助在轮流结束后回到座位坐下; (15-e) 在集体环境中不到处不当插手; (15-f) 在小组中举手表示自己知道问题的答案; (15-g) 在有 3 个儿童的桌子上没有辅助完成 2 个独立工作表; (15-h) 在学校集会上坐 20 分钟而没有破坏性行为","以上行为均未观察到"
"146","Level 2 (18-30月)","Linguistics(语言结构)","Linguistics 6","孩子表达了 10 个命名，而熟悉的大人即使没有看到孩子命名之物也能够明白孩子的意思","","18-30月","是","孩子表达了 10 个命名，而熟悉的大人即使没有看到孩子命名之物也能够明白孩子的意思","部分达到里程碑描述的标准","以上行为均未观察到"
"147","Level 2 (18-30月)","Linguistics(语言结构)","Linguistics 7","能够具有 100 个字的听者反应词汇量（如：摸鼻子、跳一下、找钥匙）","","18-30月","是","能够具有 100 个字的听者反应词汇量（如：摸鼻子、跳一下、找钥匙）","(7-a) 更频繁地使用可辨识的词语而不是自编词语; (7-b) 说出 2-3 个字组成的短语但不“理解”每一个字（如：这是一只猫，出去坐车？）; (7-c) 说的词汇量总数有 50 个（除了仿说外的所有语言反应）","以上行为均未观察到"
"148","Level 2 (18-30月)","Linguistics(语言结构)","Linguistics 8","每天发出 10 个除仿说以外的任何形式的（如：提要求、命名）两个字的短语","","18-30月","是","每天发出 10 个除仿说以外的任何形式的（如：提要求、命名）两个字的短语","(8-a) 重复提出 2 个单词的要求（如：再挠痒痒）; (8-b) 发出 2 个单词的名词-动词或动词-名词的要求或命名（如：倒果汁、宝宝哭）; (8-c) 在要求下调整音量（如：耳语和大声）; (8-d) 能仿说 10 个不同的节奏、音调或音高","以上行为均未观察到"
"149","Level 2 (18-30月)","Linguistics(语言结构)","Linguistics 9","一天内在 5 个场合发出具有功能意义（即特别有用的节奏、重音、语调）的韵律（如：像“这是我的！”这样把重音放在某个字上）","","18-30月","是","一天内在 5 个场合发出具有功能意义（即特别有用的节奏、重音、语调）的韵律（如：像“这是我的！”这样把重音放在某个字上）","(9-a) 一致地发出最初的辅音单词; (9-b) 对自己所有的物品发出 2 个单词的要求（如：我的曲奇、那是我的）; (9-c) 发出 2 个单词的关于位置的要求或命名（如：来这里、那里有托马斯）; (9-d) 发出 2 个单词的关于否定或拒绝的要求（如：不要猫国王、不要鞋子、不要更多了）; (9-e) 组合 2 个单词创造一个新的词组或短语（如：贝蒂小姐）","以上行为均未观察到"
"150","Level 2 (18-30月)","Linguistics(语言结构)","Linguistics 10","具有 300 个字的讲者词汇量（包括除仿说以外的所有语言操作元素）","","18-30月","是","具有 300 个字的讲者词汇量（包括除仿说以外的所有语言操作元素）","(10-a) 按要求仿说大多数词语或近似的词语（泛化仿说技能），但仍然有发音清晰度的错误; (10-b) 孩子说出的词语陌生人至少能理解 50%; (10-c) 总的听者词汇量有 400 个; (10-d) 表达的平均长度（MLU）为 2 个半字（如：推车、妈去哪？）","以上行为均未观察到"
"151","Level 3 (30-48月)","Linguistics(语言结构)","Linguistics 11","(此里程碑为英语语法特有项目，中文版不适用)","","30-48月","否","完全达到里程碑描述的标准","(11-a) 在一个命名或要求的连接短语中使用助（帮助性）动词（如：可以、已经、将要、能）; (11-b) 孩子在一天之内发出的短语包含几个不同的“小”字，虽没有直接教导，但似乎合乎语境（如：它、那、一、也、或、但是）; (11-c) 恰当地使用复数词（如：许多、很多、一些、几个等）; (11-d) 能确地使用不规则复数","以上行为均未观察到"
"152","Level 3 (30-48月)","Linguistics(语言结构)","Linguistics 12","(此里程碑为英语语法特有项目，中文版不适用)","","30-48月","否","完全达到里程碑描述的标准","(12-b) 使用连词来连接不同的词语和短语（如：和、或、但是）","以上行为均未观察到"
"153","Level 3 (30-48月)","Linguistics(语言结构)","Linguistics 13","能够发出 10 个不同的其中包含至少 3 个单字和 2 个修饰字（如：形容词、介词、代词）的名词词组（如：他是我的小木偶、我要巧克力冰淇淋）","","30-48月","是","能够发出 10 个不同的其中包含至少 3 个单字和 2 个修饰字（如：形容词、介词、代词）的名词词组（如：他是我的小木偶、我要巧克力冰淇淋）","(13-a) 能够说 3-5 个字的句子; (13-b) 能够发出介词短语（如：在桌子上，在屋子里），但可能不会区别相应介词（如，在……上和在……下、在……中和在……外）; (13-c) 能够用形容词修饰名词（如：蓝色的火车、巧克力口味的饼干）; (13-d) 能够在提要求、命名和对话背景中使用缩写; (13-e) 能够用代词修饰名词（如：我的鞋子、你的杯子）","以上行为均未观察到"
"154","Level 3 (30-48月)","Linguistics(语言结构)","Linguistics 14","能够发出 10 个不同的包含至少 3 个词和 2 个修饰词（如：副词、介词、代词）的动词词组（如：更重一点地推我、从台阶往上走）","","30-48月","是","能够发出 10 个不同的包含至少 3 个词和 2 个修饰词（如：副词、介词、代词）的动词词组（如：更重一点地推我、从台阶往上走）","(14-a) 在恰当的时候讲形容词放在名词之前（如：一个大的船而非船很大）; (14-b) 在人格上主语与动词一致（英文特有）; (14-c) 在数量上主语与动词一致（英文特有）; (14-e) 能用副词修饰形容词（如：快走、它是慢的）","以上行为均未观察到"
"155","Level 3 (30-48月)","Linguistics(语言结构)","Linguistics 15","能够将名词词组和动词词组连接起来从而产生 10 个不同的句法正确且其中包含至少 5 个字的句子（如：这狗舔我脸）","","30-48月","是","能够将名词词组和动词词组连接起来从而产生 10 个不同的句法正确且其中包含至少 5 个字的句子（如：这狗舔我脸）","(15-a) 能用连词连接不同的名词和动词短语（如：和、或、但是、仍然）; (15-b) 表达的平均长度为 5 个语素（在一个“句子”里有 5 个语素，其中每个语素有一个独立的意义）; (15-c) 代词与性别的一致（如：这男孩往他自己身上浇水）; (15-d) 代词与数量的一致; (15-e) 在句子中使用频率副词（如：经常、从不、有时）; (15-f) 能在句子中用指示代词（如：这个、那个、这些、那些）; (15-g) 用一些词描述另一些词的确定性（融、我认为……、我确定……、可能）","以上行为均未观察到"
"156","Level 3 (30-48月)","Reading(阅读)","Reading 11","当大人为孩子读书时孩子能有 75%的时间注意书籍（TO：3 分钟）","","30-48月","是","当大人为孩子读书时孩子能有 75%的时间注意书籍（TO：3 分钟）","(11-a) 能翻页和看书达 30 秒（TO：30 秒）; (11-b) 能要求读书中的故事; (11-c) 能指认书中与故事对应的图片（如：大灰狼在哪里？）","以上行为均未观察到"
"157","Level 3 (30-48月)","Reading(阅读)","Reading 12","能够从 5 个字母的组合中选择正确的大写字母，共能选择 10 不同的字母（区别性听者技能）","","30-48月","是","能够从 5 个字母的组合中选择正确的大写字母，共能选择 10 不同的字母（区别性听者技能）","(12-a) 没有辅助完成 ABC 嵌入式拼图; (12-b) 有一个开始时的辅助即可朗读字母表中的 5 个字母（如：AB……）; (12-c) 有一本最喜欢的书，通过看封面上的图片能说出书的名字; (12-d) 在大人读故事时命名书中的图片; (12-e) 能将所有的大写字母与样本配对","以上行为均未观察到"
"158","Level 3 (30-48月)","Reading(阅读)","Reading 13","能在听到指令后命名 10 个大写字母","","30-48月","是","能在听到指令后命名 10 个大写字母","(13-a) 仅在一个语言要求这么做时背诵（或唱诵）整个字母表; (13-b) 要求知道所写单词的意思（如：那是什么单词？）; (13-c) 假装读一本书; (13-d) 作为一个听者（LDs）能从书写的 3 个名字的组合中辨别他自己的名字; (13-e) 在给他读故事时看书写的文字，而不仅仅是看图片","以上行为均未观察到"
"159","Level 3 (30-48月)","Reading(阅读)","Reading 14","能够读自己的名字","","30-48月","是","能够读自己的名字","(14-a) 能辨别大多数大写字母（但可能会混淆一些；如：M 和 N、P 和R）; (14-b) 将 5 个字卡与书写在纸上的相同的字配对; (14-c) 当听到 5 个读音能说出字母的名字，当听到字母的名字时能给予 5 个读音; (14-d) 对话回忆 3 个给他读过的故事; (14-e) 对 3 个大写字母的不同变化表现出听者辨别和命名的泛化","以上行为均未观察到"
"160","Level 3 (30-48月)","Reading(阅读)","Reading 15","能完成 5 个词语和一个数目为 5 的组合中相应图片或实物的配对，反之同理（如：能够将一个书写的鸟字与一张鸟的图片配对）","","30-48月","是","能完成 5 个词语和一个数目为 5 的组合中相应图片或实物的配对，反之同理（如：能够将一个书写的鸟字与一张鸟的图片配对）","(15-a) 表示 2 个单词示范押韵，共 10 个不同的韵律（如：猫和帽或、猫和书）; (15-b) 能命名大多数大写字母（但可能会混淆一些；如：M 和 N、P 和R）; (15-c) 能将 10 个小写字母与大写字母配对; (15-d) 作为一个听者在数字和字母之间进行辨别（如：哪一个是字母？）; (15-e) 没有辅助写自己的名字; (15-f) 在 3 个一组的文字组合中正确选择（LDs）文字，共 5 不同的文字","以上行为均未观察到"
"161","Level 3 (30-48月)","Writing(书写)","Writing 11","在大人书写工具和书写平面进行示范时，孩子能够模仿 5 个不同的书写动作","","30-48月","是","在大人书写工具和书写平面进行示范时，孩子能够模仿 5 个不同的书写动作","(11-a) 在辅助下使用书写工具在纸上、白板上或神奇画板上涂鸦; (11-b) 能独立地在纸上、白板或神奇画板上涂鸦; (11-c) 表现出左利手或右利手; (11-d) 用蜡笔、记号笔或铅笔模仿来回地水平移动; (11-e) 用蜡笔、记号笔或铅笔模仿上下垂直移动; (11-f) 用蜡笔、记号笔或铅笔模仿小的和大的圆周移动; (11-g) 用蜡笔、记号笔或铅笔模仿斜线和曲线移动","以上行为均未观察到"
"162","Level 3 (30-48月)","Writing(书写)","Writing 12","能独立的描摹 5 不同的几何图形（如：圆圈、方块、三角形、长方形、五角星）并且描线与原线间距离不大于 1/4 英寸","","30-48月","是","能独立的描摹 5 不同的几何图形（如：圆圈、方块、三角形、长方形、五角星）并且描线与原线间距离不大于 1/4 英寸","(12-a) 能适当地抓握书写工具; (12-b) 能模仿画正方形和三角形; (12-c) 能在线的 1 英寸内摹写 3 个不同的形状; (12-d) 当给予一个样本时能仿画 3 个不同的形状; (12-e) 在一个 6 英寸的弧线的中心 1 英寸之内从 A 点到 B 点画一条线; (12-f) 能复制 5 个不同的在一起的线和形状","以上行为均未观察到"
"163","Level 3 (30-48月)","Writing(书写)","Writing 13","能够仿写 10 个端正可读的字母或数字","","30-48月","是","能够仿写 10 个端正可读的字母或数字","(13-a) 能仿写 4 个数字或字母; (13-b) 独立地将形状组合成一幅画（大人的语言辅助是可以的）; (13-c) 独立地画一个人，有 4 个可辨认的身体部位（大人的语言辅助是可以的）; (13-d) 在一张纸上摹写他自己的名字保持在原文字的 1/2 英寸内","以上行为均未观察到"
"164","Level 3 (30-48月)","Writing(书写)","Writing 14","能够拼写而不是仿写自己的可以辨认的名字","","30-48月","是","能够拼写而不是仿写自己的可以辨认的名字","(14-a) 在横格纸上清楚地仿写他自己的名字; (14-b) 在涂色本的图片里涂色，多半保持在线内; (14-c) 在横格纸上清楚地仿写 1~10 的数字; (14-d) 在横格纸上清楚地仿写 10 个大写字母和 10 个小写字母","以上行为均未观察到"
"165","Level 3 (30-48月)","Writing(书写)","Writing 15","仿写 26 个大小写字母达到可以辨读的程度","","30-48月","是","仿写 26 个大小写字母达到可以辨读的程度","(15-a) 画出可辨认的 3 个不同物品的图画; (15-b) 在口述时清楚地写 10 个字母或数字; (15-c) 清楚地仿写 5 个简单的词语","以上行为均未观察到"
"166","Level 3 (30-48月)","Math(算术)","Math 11","从听者的角度在一个包含 5 个不同数字的组合中确认 1~5 的数字","","30-48月","是","从听者的角度在一个包含 5 个不同数字的组合中确认 1~5 的数字","(11-a) 在开始时的语言辅助下死记硬背地数到 5; (11-b) 从小到大排列物品（如：小积木、中积木和大积木）; (11-c) 作为听者在 1 个和 2 个物品间辨别（如：2 条船在哪里？）; (11-d) 作为提要求在 1 个和 2 个物品间辨别（如：我要 2 块饼干）; (11-e) 对 1~10 的数字样本进行配对（如：把数字 4 和数字 4 放一起）","以上行为均未观察到"
"167","Level 3 (30-48月)","Math(算术)","Math 12","命名 1~5 的数字","","30-48月","是","命名 1~5 的数字","(12-a) 作为命名在 1 个和 2 个物品之间进行辨别（如：你有几只鞋？）; (12-b) 做出与数字 1~5 对应的手势（如：给我看 2 个手指）; (12-c) 作为听者在 1 个、2 个和 3 个物品之间进行辨别（如：你能找到 3 朵花吗？）; (12-d) 能 1 对 1 地点数 2 个物品","以上行为均未观察到"
"168","Level 3 (30-48月)","Math(算术)","Math 13","能从一大堆东西中把 1~5 的东西按数取物（如：给我 4 辆车，好再给我两辆车）","","30-48月","是","能从一大堆东西中把 1~5 的东西按数取物（如：给我 4 辆车，好再给我两辆车）","(13-a) 当被询问时说出年龄; (13-b) 在“有多少？”的语言辅助下大声数出 3 个物品以及相关的物品套组; (13-c) 作为听者（LDs）识别物品的数量（如：哪张图片有 2 辆车？）; (13-d) 表现出从 1~3 的点数能力（最后的重点放在正确的数目）","以上行为均未观察到"
"169","Level 3 (30-48月)","Math(算术)","Math 14","从听者的角度确认 8 个包括衡量的比较（如：给我看多的或少的、大的或小的、长的或短的，满的或空的，大声的或轻声的）","","30-48月","是","从听者的角度确认 8 个包括衡量的比较（如：给我看多的或少的、大的或小的、长的或短的，满的或空的，大声的或轻声的）","(14-a) 正确地命名 1~3 个物品的总数，如“1”、“2”和“3”（如：这里有多少？）; (14-b) 辨认（LDs）一批物品与一个对照组谁多谁少; (14-c) 辨认（LDs）容器的是满杯还是空; (14-d) 辨认（LDs）一个物品与一个对照物谁大谁小; (14-e) 辨认（LDs）一个物品与一个对照物谁长谁段","以上行为均未观察到"
"170","Level 3 (30-48月)","Math(算术)","Math 15","能够在从 1~5 的数字中正确地将一个书写数字与一定的数量和一定数量与一个书写数字相配对（如：将 3的数字与一张画有 3 辆卡车的图画相配对）","","30-48月","是","能够在从 1~5 的数字中正确地将一个书写数字与一定的数量和一定数量与一个书写数字相配对（如：将 3的数字与一张画有 3 辆卡车的图画相配对）","(15-a) 根据规定数量执行一个动作，最多为 5（如：拍 3 下手）; (15-b) 完成包含 2 个元素的顺序或模型（如：红-绿；红-绿……）; (15-c) 正确辨别（LDs）顺序术语“第一”和“最后”; (15-d) 正确辨别（LDs）和命名上午时间和晚上时间; (15-e) 对 1~9 的下一个数字是什么作出反应对话; (15-f) 正确辨识（LDs）3 种不同的硬币，对钱是用来干什么的作出对话性陈述","以上行为均未观察到"
